Gene	Cancer_Gene	GO_cell.death	GO_cell.differentiation	GO_cell.proliferation	GO_mitototic.cell.cycle	HumanNet.CGS_L1	HumanNet.CGS_L2	InteractNet.CGS_L1	InteractNet.CGS_L2	ReguleNet.DEG_score	DEG_score
ABCC12	0	0	0	0	0	0	0	0	1	0.55	0.55
ABCC13	0	0	0	0	0	0	0	0	13	0	0
ABCC2	0	0	0	0	0	2	70	0	41	0.128	0.128
ABCC3	0	0	0	0	0	2	70	0	0	0.034	0.034
ABCC4	0	0	0	0	0	0	0	0	1	0.518	0.518
ABCC5	0	0	0	0	0	2	70	0	2	0.898	0.898
ABCC6	0	0	0	0	0	3	101	0	13	0.902	0.902
ABCC8	0	0	0	0	0	1	14	0	0	0.563	0.563
ABCC9	0	0	0	0	0	1	14	0	5	0.917	0.917
ABCD1	0	0	0	0	0	0	0	1	17	0.714	0.714
ABCD2	0	0	0	0	0	2	71	0	2	0.909	0.909
ABCD3	0	0	0	0	0	0	19	0	15	0.867	0.867
ABCD4	0	0	0	0	0	2	70	0	21	0	0
ABCE1	0	0	0	0	0	0	135	0	149	0.758	0.758
ABCF1	0	0	0	0	0	5	188	0	3	0.9	0.9
ABCF2	0	0	0	0	0	2	70	0	22	0.89	0.89
ABCF3	0	0	0	0	0	0	0	1	33	0.912	0.912
ABCG1	0	0	1	0	0	0	39	0	0	0.916	0.916
ABCG2	0	0	0	0	0	3	101	1	7	0.719	0.719
ABCG4	0	0	0	0	0	0	0	0	4	0.406	0.406
ABCG5	0	0	0	0	0	0	0	1	43	0.551	0.551
ABCG8	0	0	0	0	0	0	0	1	23	0.691	0.691
ABHD1	0	0	0	0	0	0	0	0	2	0.883	0.883
ABHD10	0	0	0	0	0	0	0	0	28	0.522	0.522
ABHD16A	0	0	0	0	0	0	0	0	13	0	0
ABHD17A	0	0	0	0	0	0	0	0	3	0	0
ABHD4	0	0	0	0	0	0	0	0	20	0.007	0.007
ABHD5	0	0	1	0	0	0	0	0	0	0.885	0.885
ABHD6	0	0	0	0	0	0	0	0	3	0.933	0.933
ABI1	1	0	1	1	0	20	191	5	102	0.514	0.514
ABI2	0	0	1	0	0	0	58	3	202	0.81	0.81
ABI3	0	0	0	0	0	0	0	1	106	0.57	0.57
ABI3BP	0	0	0	0	0	0	0	1	100	0.931	0.931
ABL1	1	1	1	1	1	39	225	27	317	0.892	0.892
ABL2	1	1	1	1	0	2	39	10	155	0.891	0.891
ABLIM1	0	0	1	0	0	8	170	0	54	0	0
ABLIM2	0	0	1	0	0	0	0	0	4	0.287	0.287
ABLIM3	0	0	1	0	0	0	0	0	12	0	0
ABO	0	0	0	0	0	0	0	0	0	0	0
ABP1	0	0	0	0	0	0	0	0	0	0.451	0.451
ABR	0	1	0	0	0	0	22	1	27	0.9	0.9
ABRA	0	0	0	0	0	0	0	0	0	0.337	0.337
ABT1	0	0	1	0	0	23	174	0	24	0.776	0.776
ABTB1	0	0	0	0	0	0	0	1	45	0.94	0.94
ABTB2	0	0	0	0	0	0	0	0	157	0.49	0.49
ACAA1	0	0	0	0	0	2	121	0	0	0.264	0.264
ACAA2	0	1	0	0	0	0	0	0	3	0.931	0.931
ACACA	0	0	0	0	0	0	0	4	86	0.433	0.433
ACACB	0	0	0	0	0	0	0	0	4	0.929	0.929
ACAD11	0	0	0	0	0	0	0	0	15	0	0
ACAD8	0	0	0	0	0	1	142	0	8	0.865	0.865
ACAD9	0	0	0	0	0	0	0	0	2	0.091	0.091
ACADM	0	0	1	0	0	0	32	0	2	0.827	0.827
ACADS	0	0	0	0	0	0	32	0	2	0	0
ACADSB	0	0	0	0	0	0	12	0	0	0.14	0.14
ACADVL	0	0	1	0	0	0	44	1	15	0	0
ACAN	0	0	1	0	0	0	0	0	2	0.655	0.655
ACAP1	0	0	0	0	0	0	0	1	87	0	0
ACAP3	0	0	0	0	0	0	0	0	7	0	0
ACAT1	0	0	0	0	0	0	0	0	30	0.81	0.81
ACAT2	0	0	0	0	0	1	141	0	17	0.875	0.875
ACBD3	0	0	0	0	0	0	0	0	2	0	0
ACBD6	0	0	0	0	0	0	0	0	22	0	0
ACCN1	0	0	0	0	0	0	0	0	2	0	0
ACCN2	0	0	0	0	0	0	0	0	14	0	0
ACCN3	0	0	0	0	0	0	0	1	19	0	0
ACCS	0	0	0	0	0	0	0	0	3	0	0
ACD	0	0	0	0	0	1	14	5	102	0.539	0.539
ACE	0	0	1	1	0	3	141	0	144	0.425	0.425
ACE2	0	0	0	1	0	0	42	0	1	0.309	0.309
ACHE	0	0	1	1	0	34	225	0	4	0.362	0.362
ACIN1	0	1	1	0	0	0	7	1	34	0.282	0.282
ACKR3	0	1	1	0	0	0	0	0	1	0	0
ACLY	0	0	0	0	0	0	5	2	182	0.763	0.763
ACMSD	0	0	0	0	0	0	0	0	7	0.712	0.712
ACO1	0	0	0	0	0	0	0	1	153	0.917	0.917
ACO2	0	0	0	0	0	5	121	0	18	0.342	0.342
ACOT1	0	0	0	0	0	0	0	0	0	0.806	0.806
ACOT13	0	0	0	0	0	0	0	0	2	0.749	0.749
ACOT2	0	0	0	0	0	0	0	0	0	0.815	0.815
ACOT4	0	0	0	0	0	0	0	0	0	0.877	0.877
ACOT7	0	0	0	0	0	1	142	1	45	0	0
ACOT8	0	0	0	0	0	4	160	2	49	0.928	0.928
ACOT9	0	0	0	0	0	0	0	0	2	0.781	0.781
ACOX1	0	0	0	0	0	1	142	0	0	0.796	0.796
ACOX2	0	0	0	0	0	0	3	0	0	0.588	0.588
ACOX3	0	0	0	0	0	0	15	0	2	0.566	0.566
ACP1	0	0	0	0	0	0	0	2	51	0.918	0.918
ACP2	0	1	0	0	0	0	0	0	144	0.917	0.917
ACP5	0	0	0	0	0	0	0	0	32	0.551	0.551
ACP6	0	0	1	0	0	1	142	0	6	0.519	0.519
ACPP	0	0	0	0	0	13	197	1	154	0.625	0.625
ACR	0	0	0	0	0	1	42	0	9	0.703	0.703
ACRV1	0	0	0	0	0	17	203	0	0	0.835	0.835
ACSBG1	0	0	0	0	0	0	0	0	23	0.069	0.069
ACSF2	0	0	0	0	0	0	0	0	6	0.125	0.125
ACSL1	0	0	0	0	0	0	104	0	1	0.906	0.906
ACSL3	1	0	0	0	0	1	1	1	4	0.286	0.286
ACSL4	0	0	1	0	0	0	26	0	28	0.936	0.936
ACSL5	0	1	0	0	0	0	0	0	3	0.908	0.908
ACSM2B	0	0	0	0	0	0	0	0	15	0.87	0.87
ACSM3	0	0	0	0	0	0	59	0	8	0.743	0.743
ACSM5	0	0	0	0	0	0	0	1	61	0.919	0.919
ACSS1	0	0	0	0	0	0	0	0	2	0.74	0.74
ACSS2	0	0	0	0	0	0	0	0	0	0.935	0.935
ACSS3	0	0	0	0	0	0	0	0	0	0.836	0.836
ACTA1	0	0	1	0	0	0	65	10	240	0.33	0.33
ACTA2	0	0	1	0	0	0	0	2	104	0	0
ACTB	0	0	1	0	0	7	163	9	295	0.895	0.895
ACTBL2	0	0	0	0	0	0	0	0	6	0.792	0.792
ACTC1	0	1	1	0	0	0	73	1	172	0	0
ACTG1	0	0	1	0	0	7	159	4	141	0.935	0.935
ACTG2	0	0	0	0	0	0	0	1	54	0	0
ACTL6A	0	0	0	0	0	1	74	8	216	0	0
ACTL6B	0	0	0	0	0	0	0	0	82	0.374	0.374
ACTL7A	0	0	0	0	0	0	0	0	4	0.467	0.467
ACTL8	0	0	1	0	0	0	0	0	0	0.511	0.511
ACTN1	0	1	1	0	0	0	7	4	151	0.83	0.83
ACTN2	0	1	1	0	0	5	158	2	133	0.326	0.326
ACTN3	0	1	1	0	0	0	0	1	52	0	0
ACTN4	0	1	1	0	0	0	3	3	219	0.294	0.294
ACTR10	0	0	0	0	0	0	0	0	5	0.521	0.521
ACTR1A	0	0	0	0	1	0	50	1	150	0.64	0.64
ACTR1B	0	0	0	0	0	0	0	0	46	0.882	0.882
ACTR2	0	0	1	0	0	7	163	0	165	0	0
ACTR3	0	0	1	0	0	7	163	0	58	0	0
ACTR3B	0	0	0	0	0	0	0	1	16	0.439	0.439
ACTR5	0	0	0	0	0	0	0	1	57	0.865	0.865
ACTR6	0	0	0	0	0	0	0	0	7	0.606	0.606
ACTR8	0	0	0	0	1	0	0	1	47	0.231	0.231
ACVR1	0	1	1	0	1	11	168	3	85	0.81	0.81
ACVR1B	1	1	1	0	1	13	201	2	192	0.766	0.766
ACVR1C	0	1	1	1	0	7	164	0	33	0.907	0.907
ACVR2A	0	0	1	1	0	1	81	1	5	0	0
ACVR2B	0	0	1	0	0	2	65	1	40	0.265	0.265
ACVRL1	0	0	1	1	0	22	206	0	29	0.929	0.929
ACY1	0	0	0	0	0	0	0	2	40	0.482	0.482
ACY3	0	0	0	0	0	0	0	0	45	0.328	0.328
ACYP1	0	0	0	0	0	2	17	0	0	0.725	0.725
ACYP2	0	0	0	0	0	2	17	0	0	0.769	0.769
ADA	0	1	1	1	0	3	100	0	41	0.746	0.746
ADAM1	0	0	0	0	0	0	0	0	0	0	0
ADAM10	0	0	1	1	0	0	87	1	73	0.107	0.107
ADAM11	0	0	0	0	0	0	35	0	0	0.84	0.84
ADAM12	0	0	1	0	0	0	1	2	38	0.909	0.909
ADAM15	0	1	1	0	0	0	33	1	115	0.922	0.922
ADAM17	0	1	1	1	1	4	195	1	37	0.346	0.346
ADAM18	0	0	1	0	0	1	118	0	0	0.56	0.56
ADAM19	0	0	0	0	0	0	0	0	9	0	0
ADAM2	0	0	0	0	0	0	11	0	5	0.073	0.073
ADAM20	0	0	0	0	0	0	22	0	0	0	0
ADAM21	0	0	0	0	0	0	22	0	0	0.806	0.806
ADAM22	0	0	1	0	0	1	120	0	43	0.527	0.527
ADAM23	0	0	0	0	0	1	120	0	0	0.347	0.347
ADAM28	0	0	0	0	0	1	118	0	0	0.566	0.566
ADAM29	0	0	0	0	0	1	118	0	0	0.175	0.175
ADAM33	0	0	0	0	0	0	0	0	11	0	0
ADAM3B	0	0	0	0	0	0	0	0	1	0	0
ADAM9	0	0	1	0	0	0	126	1	24	0.692	0.692
ADAMTS1	0	0	1	1	0	15	191	0	6	0	0
ADAMTS10	0	0	0	0	0	0	0	0	40	0.836	0.836
ADAMTS12	0	0	1	0	0	0	0	0	11	0.867	0.867
ADAMTS13	0	0	0	0	0	3	130	0	3	0.182	0.182
ADAMTS2	0	0	0	0	0	0	0	1	35	0.53	0.53
ADAMTS4	0	0	0	0	0	11	195	0	13	0.79	0.79
ADAMTS5	0	0	0	0	0	3	127	0	0	0	0
ADAMTS8	0	0	0	1	0	15	191	0	0	0.859	0.859
ADAMTS9	0	0	1	0	0	20	206	0	1	0.933	0.933
ADAMTSL2	0	0	0	0	0	0	0	0	4	0.922	0.922
ADAMTSL3	0	0	0	0	0	0	0	0	24	0.873	0.873
ADAMTSL4	0	1	0	0	0	1	27	4	106	0.934	0.934
ADAMTSL5	0	0	0	0	0	0	0	0	13	0.744	0.744
ADAP1	0	0	0	0	0	13	179	1	80	0	0
ADAP2	0	0	0	0	0	0	0	0	36	0	0
ADAR	0	1	1	0	0	3	100	1	41	0	0
ADARB1	0	0	0	1	0	0	0	0	30	0.892	0.892
ADARB2	0	0	0	0	0	0	1	0	0	0.553	0.553
ADAT1	0	0	0	0	0	0	0	0	0	0.379	0.379
ADAT2	0	0	0	0	0	0	0	0	2	0.926	0.926
ADAT3	0	0	0	0	0	0	0	0	15	0.864	0.864
ADC	0	0	0	0	0	0	0	0	1	0.879	0.879
ADCK1	0	0	0	0	0	0	0	0	2	0.216	0.216
ADCK2	0	0	0	0	0	0	0	0	26	0.916	0.916
ADCK3	0	0	0	0	0	0	0	0	7	0	0
ADCK5	0	0	0	0	0	0	0	0	10	0.903	0.903
ADCY2	0	0	0	0	0	0	0	0	0	0.245	0.245
ADCY3	0	0	0	0	0	0	0	0	3	0.906	0.906
ADCY4	0	0	0	0	0	0	0	0	3	0	0
ADCY5	0	0	0	0	0	0	0	0	15	0.888	0.888
ADCY6	0	0	1	0	0	0	0	0	11	0	0
ADCY7	0	0	0	0	0	0	0	0	25	0.544	0.544
ADCY8	0	0	0	0	0	0	26	0	9	0.002	0.002
ADCYAP1	0	0	1	0	0	5	199	0	3	0	0
ADCYAP1R1	0	1	1	0	0	0	0	0	0	0	0
ADD1	0	1	1	0	0	0	0	1	114	0	0
ADD2	0	0	0	0	0	0	0	0	45	0.292	0.292
ADD3	0	0	0	0	0	0	0	0	11	0	0
ADH1A	0	0	0	0	0	0	1	0	6	0.907	0.907
ADH1B	0	0	0	0	0	0	0	2	34	0	0
ADH4	0	0	0	0	0	1	4	0	0	0.907	0.907
ADH5	0	0	0	0	0	0	1	2	74	0	0
ADH6	0	0	0	0	0	0	1	1	20	0.872	0.872
ADH7	0	0	0	0	0	1	49	0	0	0	0
ADHFE1	0	0	0	0	0	0	0	1	4	0.939	0.939
ADI1	0	0	0	0	0	0	0	0	3	0.79	0.79
ADIPOQ	0	1	1	1	0	2	121	0	9	0.906	0.906
ADIPOR1	0	0	0	0	0	0	24	0	6	0	0
ADIPOR2	0	0	0	0	0	0	0	0	1	0.495	0.495
ADK	0	0	0	0	0	0	0	0	0	0.548	0.548
ADM	0	1	1	1	0	5	200	0	0	0.924	0.924
ADNP	0	1	1	0	0	0	0	3	72	0.93	0.93
ADNP2	0	1	1	0	0	0	0	0	5	0.629	0.629
ADORA1	0	1	0	1	0	13	222	0	6	0.28	0.28
ADORA2A	0	1	0	0	0	17	228	0	13	0.877	0.877
ADORA2B	0	0	0	0	0	5	197	1	14	0.634	0.634
ADORA3	0	0	0	0	0	3	200	0	36	0.897	0.897
ADPGK	0	0	0	0	0	0	0	0	19	0.84	0.84
ADPRH	0	0	0	0	0	0	0	0	8	0.941	0.941
ADPRHL2	0	0	0	0	0	0	0	0	1	0.905	0.905
ADRA1A	0	1	0	1	0	25	227	0	0	0.918	0.918
ADRA1B	0	0	0	1	0	44	238	0	3	0.839	0.839
ADRA1D	0	0	0	1	0	48	238	0	0	0.278	0.278
ADRA2A	0	0	0	1	0	15	201	0	5	0.925	0.925
ADRA2B	0	0	1	0	0	5	203	0	1	0.844	0.844
ADRA2C	0	0	1	0	0	5	205	0	1	0.551	0.551
ADRB1	0	0	1	0	0	1	42	0	16	0.617	0.617
ADRB2	0	1	1	1	0	5	182	3	191	0	0
ADRB3	0	0	1	0	0	8	158	0	44	0.697	0.697
ADRBK1	0	0	0	0	0	0	0	2	86	0.875	0.875
ADRBK2	0	0	0	0	0	0	0	0	145	0.927	0.927
ADRM1	0	0	0	0	0	0	0	1	168	0.903	0.903
ADSL	0	0	0	0	0	0	0	0	147	0.191	0.191
ADSS	0	0	0	0	0	0	0	0	0	0	0
ADSSL1	0	0	0	0	0	0	0	0	3	0.429	0.429
ADTRP	0	0	0	0	0	0	0	0	7	0	0
AEBP1	0	0	0	0	0	10	187	0	60	0.89	0.89
AEBP2	0	0	0	0	0	0	0	1	35	4030.11	0.859
AEN	0	1	0	0	0	0	0	3	59	0.746	0.746
AES	0	1	0	0	0	25	208	10	249	0.124	0.124
AFAP1	0	0	0	0	0	0	0	0	20	0	0
AFAP1L1	0	0	0	0	0	0	0	0	14	0	0
AFAP1L2	0	0	0	0	1	0	0	1	27	0	0
AFF1	0	0	0	0	0	0	0	8	101	0.919	0.919
AFF2	0	0	0	0	0	1	75	1	72	0	0
AFF3	0	0	0	0	0	18	203	1	6	0.69	0.69
AFF4	0	0	1	0	0	23	174	3	78	0.27	0.27
AFG3L1P	0	0	0	0	0	0	0	0	8	0	0
AFG3L2	0	0	1	0	0	0	0	0	16	0.678	0.678
AFP	0	0	0	0	0	0	0	0	12	0.671	0.671
AFTPH	0	0	0	0	0	0	0	1	21	0.908	0.908
AGA	0	0	0	0	0	0	0	0	0	0.827	0.827
AGAP1	0	0	0	0	0	0	0	0	26	0	0
AGAP2	0	1	1	1	0	0	0	2	39	0	0
AGBL2	0	0	0	0	0	0	0	1	47	0.724	0.724
AGER	0	1	1	1	0	15	209	0	67	0.905	0.905
AGFG1	0	0	1	0	0	0	12	2	25	0.57	0.57
AGFG2	0	0	0	0	0	0	0	1	11	0.855	0.855
AGGF1	0	0	1	1	0	6	174	0	9	0.784	0.784
AGK	0	0	0	0	0	0	0	0	26	0.797	0.797
AGL	0	0	0	0	0	0	0	0	155	0.328	0.328
AGO1	0	0	0	0	0	0	0	0	3	0	0
AGO2	0	0	0	0	0	0	0	2	6	0	0
AGPAT1	0	0	0	0	0	0	0	0	12	0.717	0.717
AGPAT2	0	0	0	0	0	0	0	1	4	0.896	0.896
AGPAT3	0	0	0	0	0	0	0	0	3	0.812	0.812
AGPAT4	0	0	0	0	0	0	0	1	37	0.911	0.911
AGPAT5	0	0	1	0	0	0	0	0	32	0.722	0.722
AGPAT6	0	0	1	0	0	0	0	0	4	0.595	0.595
AGPHD1	0	0	0	0	0	0	0	0	9	0.696	0.696
AGPS	0	0	0	0	0	1	142	0	0	0.331	0.331
AGR2	0	1	1	0	0	0	0	1	37	0.874	0.874
AGR3	0	0	0	0	0	0	0	0	18	0.922	0.922
AGRN	0	1	1	0	0	0	39	0	11	0.841	0.841
AGRP	0	0	0	0	0	0	67	0	0	0	0
AGSK1	0	0	0	0	0	0	0	0	1	0	0
AGT	0	1	1	1	0	17	208	1	77	0.725	0.725
AGTPBP1	0	0	1	0	0	0	0	0	21	0.655	0.655
AGTR1	0	0	1	1	0	0	114	0	17	0.078	0.078
AGTR2	0	1	1	1	0	5	190	0	3	0	0
AGTRAP	0	0	0	0	0	0	0	2	107	0	0
AGXT	0	0	0	0	0	0	0	0	4	0.818	0.818
AGXT2	0	0	0	0	0	0	0	0	1	0	0
AGXT2L2	0	0	0	0	0	0	0	1	13	0	0
AHCTF1	0	0	0	0	1	0	0	0	8	0.893	0.893
AHCY	0	0	0	0	0	0	0	1	184	0.925	0.925
AHCYL1	0	0	0	0	0	0	0	1	43	0.148	0.148
AHCYL2	0	0	0	0	0	0	0	1	11	0.443	0.443
AHDC1	0	0	0	0	0	0	0	0	24	0.897	0.897
AHNAK	0	0	0	0	0	0	0	3	69	0	0
AHNAK2	0	0	0	0	0	0	0	0	3	0.485	0.485
AHR	0	1	0	1	0	44	235	6	235	255.069	0.853
AHRR	0	0	0	0	0	0	0	1	72	3.087	0.609
AHSA1	0	0	0	0	0	0	0	1	50	0.924	0.924
AHSA2	0	0	0	0	0	0	0	0	32	0.915	0.915
AHSG	0	0	0	0	0	0	40	2	106	0.157	0.157
AHSP	0	0	0	0	0	0	0	0	14	0.677	0.677
AICDA	0	0	1	0	0	0	0	0	22	0.221	0.221
AIDA	0	0	0	0	0	0	0	0	14	0.034	0.034
AIF1	0	1	0	1	1	23	231	0	0	0.375	0.375
AIFM1	0	1	1	0	0	3	93	2	170	0.93	0.93
AIFM2	0	1	0	0	0	7	174	0	0	0.928	0.928
AIFM3	0	1	0	0	0	8	185	0	1	0.876	0.876
AIG1	0	0	0	0	0	0	0	0	5	0.828	0.828
AIM2	0	1	0	0	0	10	181	0	2	0.835	0.835
AIMP1	0	1	0	1	0	4	196	0	148	0.704	0.704
AIMP2	0	1	1	1	0	0	0	5	225	0.921	0.921
AIP	0	0	0	0	0	0	0	2	98	0.595	0.595
AIPL1	0	1	0	0	0	0	126	1	11	0.553	0.553
AIRE	0	0	0	0	0	0	0	11	220	2043.93	0.141
AJAP1	0	0	0	0	0	0	0	2	41	0	0
AJUBA	0	0	0	0	1	0	0	0	15	0	0
AK1	0	0	0	0	0	0	0	1	33	0.336	0.336
AK2	0	0	0	0	0	0	0	0	9	0.769	0.769
AK3	0	0	0	0	0	0	0	0	21	0	0
AK4	0	0	0	0	0	0	0	0	8	0	0
AK5	0	0	0	0	0	0	0	0	5	0	0
AK8	0	0	0	0	0	0	0	0	28	0	0
AKAP1	0	0	0	0	0	0	0	1	32	0	0
AKAP10	0	0	0	0	0	1	103	1	5	0	0
AKAP11	0	0	0	0	0	0	85	1	45	0	0
AKAP12	0	0	0	0	0	1	147	1	48	0	0
AKAP13	0	1	0	0	0	0	0	1	81	0	0
AKAP14	0	0	0	0	0	0	0	0	3	0	0
AKAP17A	0	0	0	0	0	0	0	0	33	0	0
AKAP2	0	0	0	0	0	0	0	2	95	0	0
AKAP3	0	0	0	0	0	7	163	0	6	0	0
AKAP4	0	0	0	0	0	0	27	1	7	0	0
AKAP5	0	0	1	0	0	1	118	0	21	0	0
AKAP6	0	0	1	0	0	0	0	2	118	0	0
AKAP7	0	0	0	0	0	5	139	0	13	0	0
AKAP8	0	0	0	0	1	2	79	5	70	0	0
AKAP8L	0	0	0	0	0	0	0	2	174	0	0
AKAP9	1	0	1	0	1	2	131	4	91	0	0
AKD1	0	0	0	0	0	0	0	0	1	0.417	0.417
AKIP1	0	0	1	0	0	0	0	0	12	0	0
AKIRIN1	0	0	0	0	0	0	0	1	3	0.089	0.089
AKIRIN2	0	0	0	1	0	0	0	0	4	0.85	0.85
AKNA	0	0	0	0	0	0	0	0	2	0.625	0.625
AKR1A1	0	0	0	0	0	0	47	0	21	0.872	0.872
AKR1B1	0	0	0	1	0	3	152	1	21	0.816	0.816
AKR1B10	0	0	0	0	0	0	106	0	13	0.499	0.499
AKR1C1	0	0	1	0	0	3	128	0	20	0	0
AKR1C2	0	0	1	1	0	0	107	0	3	0.907	0.907
AKR1C3	0	1	1	1	0	1	50	0	25	0.939	0.939
AKR1C4	0	0	0	0	0	0	3	0	0	0.81	0.81
AKR1D1	0	0	0	0	0	1	121	0	0	0.448	0.448
AKR7A2	0	0	0	0	0	2	39	0	1	0.675	0.675
AKR7A3	0	0	0	0	0	0	3	0	9	0.806	0.806
AKT1	1	1	1	1	1	5	193	34	342	0.885	0.885
AKT1S1	0	1	0	0	0	0	0	2	64	0.9	0.9
AKT2	1	1	1	0	0	1	1	4	129	0.607	0.607
AKT3	0	0	0	0	0	0	0	1	30	0.66	0.66
AKTIP	0	1	0	0	0	0	0	4	84	0.511	0.511
ALAD	0	0	0	0	0	0	34	0	0	0	0
ALAS1	0	0	0	0	0	0	34	2	74	0	0
ALAS2	0	0	1	0	0	2	94	0	66	0	0
ALB	0	1	0	0	0	4	119	0	45	0	0
ALCAM	0	0	1	0	0	5	152	0	1	0	0
ALDH16A1	0	0	0	0	0	0	0	0	3	0	0
ALDH18A1	0	0	0	0	0	0	0	1	65	0	0
ALDH1A1	0	0	0	0	0	0	3	2	11	0	0
ALDH1A2	0	1	1	1	0	0	0	0	4	0	0
ALDH1A3	0	1	0	0	0	2	143	0	0	0	0
ALDH1B1	0	0	0	0	0	0	0	1	160	0	0
ALDH1L2	0	0	0	0	0	0	0	0	2	0	0
ALDH2	1	0	0	0	0	2	38	1	20	0	0
ALDH3A1	0	0	0	1	0	1	51	1	17	0	0
ALDH3A2	0	0	0	0	0	4	183	0	2	0	0
ALDH3B1	0	0	0	0	0	2	143	0	22	0	0
ALDH3B2	0	0	0	0	0	2	143	0	0	0	0
ALDH4A1	0	0	0	0	0	0	0	0	0	0	0
ALDH5A1	0	0	0	0	0	2	133	0	0	0	0
ALDH6A1	0	0	1	0	0	0	0	1	16	0	0
ALDH7A1	0	0	0	0	0	1	112	0	12	0	0
ALDH9A1	0	0	0	0	0	1	51	2	46	0	0
ALDOA	0	0	0	0	0	0	5	2	200	0	0
ALDOB	0	0	0	0	0	0	0	0	8	0	0
ALDOC	0	0	1	0	0	0	0	0	146	0	0
ALG1	0	0	0	0	0	0	27	0	0	0	0
ALG10B	0	0	0	0	0	0	0	0	2	0	0
ALG12	0	0	0	0	0	0	0	0	2	0	0
ALG13	0	0	0	0	0	0	0	0	10	0	0
ALG2	0	0	0	0	0	0	0	0	23	0	0
ALG3	0	0	0	0	0	0	0	0	3	0	0
ALG5	0	0	0	0	0	0	27	0	0	0	0
ALG6	0	0	0	0	0	1	29	0	0	0	0
ALG8	0	0	0	0	0	0	0	0	4	0	0
ALG9	0	0	0	0	0	0	0	0	0	0	0
ALK	1	1	1	1	0	7	189	8	148	0	0
ALKBH1	0	0	0	0	0	0	3	0	4	0	0
ALKBH3	0	0	0	1	0	0	0	1	19	0	0
ALKBH4	0	0	0	0	0	0	0	0	2	0	0
ALL1	0	0	0	0	0	0	0	1	110	0	0
ALMS1	0	0	0	0	1	0	0	0	4	0	0
ALOX12	0	1	1	1	0	20	223	1	6	0	0
ALOX12B	0	0	0	0	0	3	176	0	0	0	0
ALOX15	0	0	0	0	0	2	187	0	0	0	0
ALOX15B	0	1	1	1	0	21	215	0	0	0	0
ALOX5	0	0	0	0	0	0	0	2	79	0	0
ALOX5AP	0	0	0	0	0	2	187	0	1	0	0
ALPI	0	0	0	0	0	0	0	1	17	0	0
ALPK1	0	0	0	0	0	0	0	0	33	0	0
ALPL	0	0	1	0	0	0	0	0	3	0	0
ALPP	0	0	0	0	0	0	0	1	18	0	0
ALS2	0	1	1	0	0	0	0	0	12	0	0
ALS2CL	0	0	0	0	0	0	0	0	1	0	0
ALS2CR11	0	0	0	0	0	0	0	0	56	0	0
ALS2CR12	0	0	0	0	0	0	0	2	67	0	0
ALS2CR8	0	0	0	0	0	0	0	0	1	0	0
ALX1	0	0	1	0	0	40	219	0	3	4.08	0
ALX4	0	1	0	0	0	0	0	1	13	0	0
ALYREF	0	0	1	0	0	0	0	0	1	0	0
AMBP	0	0	0	0	0	0	3	3	107	0.011	0.011
