Gene	Cancer_Gene	GO_cell.death	GO_cell.differentiation	GO_cell.proliferation	GO_mitototic.cell.cycle	HumanNet.CGS_L1	HumanNet.CGS_L2	InteractNet.CGS_L1	InteractNet.CGS_L2	ReguleNet.DEG_score	DEG_score
ABCF1	0	0	0	0	0	5	188	0	3	0.872	0.872
ABCF2	0	0	0	0	0	2	70	0	22	0.928	0.928
ABCF3	0	0	0	0	0	0	0	1	33	0.888	0.888
ABCG1	0	0	1	0	0	0	39	0	0	0.929	0.929
ABCG2	0	0	0	0	0	3	101	1	7	0.913	0.913
ABCG4	0	0	0	0	0	0	0	0	4	0.719	0.719
ABCG5	0	0	0	0	0	0	0	1	43	0.259	0.259
ABCG8	0	0	0	0	0	0	0	1	23	0.805	0.805
ABHD1	0	0	0	0	0	0	0	0	2	0.782	0.782
ABHD10	0	0	0	0	0	0	0	0	28	0.824	0.824
ABHD16A	0	0	0	0	0	0	0	0	13	0	0
ABHD17A	0	0	0	0	0	0	0	0	3	0	0
ABHD4	0	0	0	0	0	0	0	0	20	0.789	0.789
ABHD5	0	0	1	0	0	0	0	0	0	0.909	0.909
ABHD6	0	0	0	0	0	0	0	0	3	0	0
ABI1	1	0	1	1	0	20	191	5	102	0.816	0.816
ABI2	0	0	1	0	0	0	58	3	202	0.768	0.768
ABI3	0	0	0	0	0	0	0	1	106	0.901	0.901
ABI3BP	0	0	0	0	0	0	0	1	100	0	0
ABL1	1	1	1	1	1	39	225	27	317	0.138	0.138
ABL2	1	1	1	1	0	2	39	10	155	0.658	0.658
ABLIM1	0	0	1	0	0	8	170	0	54	0.868	0.868
ABLIM2	0	0	1	0	0	0	0	0	4	0.446	0.446
ABLIM3	0	0	1	0	0	0	0	0	12	0.939	0.939
ABO	0	0	0	0	0	0	0	0	0	0.433	0.433
ABP1	0	0	0	0	0	0	0	0	0	0.764	0.764
ABR	0	1	0	0	0	0	22	1	27	0.806	0.806
ABRA	0	0	0	0	0	0	0	0	0	0.869	0.869
ABT1	0	0	1	0	0	23	174	0	24	0.808	0.808
ABTB1	0	0	0	0	0	0	0	1	45	0.928	0.928
ABTB2	0	0	0	0	0	0	0	0	157	0.797	0.797
ACAA1	0	0	0	0	0	2	121	0	0	0.889	0.889
ACAA2	0	1	0	0	0	0	0	0	3	0.893	0.893
ACACA	0	0	0	0	0	0	0	4	86	0.437	0.437
ACACB	0	0	0	0	0	0	0	0	4	0.931	0.931
ACAD11	0	0	0	0	0	0	0	0	15	0.274	0.274
ACAD8	0	0	0	0	0	1	142	0	8	0.629	0.629
ACAD9	0	0	0	0	0	0	0	0	2	0.874	0.874
ACADM	0	0	1	0	0	0	32	0	2	0.469	0.469
ACADS	0	0	0	0	0	0	32	0	2	0.904	0.904
ACADSB	0	0	0	0	0	0	12	0	0	0.756	0.756
ACADVL	0	0	1	0	0	0	44	1	15	0.627	0.627
ACAN	0	0	1	0	0	0	0	0	2	0.733	0.733
ACAP1	0	0	0	0	0	0	0	1	87	0.38	0.38
ACAP3	0	0	0	0	0	0	0	0	7	0.841	0.841
ACAT1	0	0	0	0	0	0	0	0	30	0.918	0.918
ACAT2	0	0	0	0	0	1	141	0	17	0.679	0.679
ACBD3	0	0	0	0	0	0	0	0	2	0.886	0.886
ACBD6	0	0	0	0	0	0	0	0	22	0.898	0.898
ACCN1	0	0	0	0	0	0	0	0	2	0.156	0.156
ACCN2	0	0	0	0	0	0	0	0	14	0.907	0.907
ACCN3	0	0	0	0	0	0	0	1	19	0.168	0.168
ACCS	0	0	0	0	0	0	0	0	3	0.825	0.825
ACD	0	0	0	0	0	1	14	5	102	0.772	0.772
ACE	0	0	1	1	0	3	141	0	144	0.932	0.932
ACE2	0	0	0	1	0	0	42	0	1	0.711	0.711
ACHE	0	0	1	1	0	34	225	0	4	0.574	0.574
ACIN1	0	1	1	0	0	0	7	1	34	0.597	0.597
ACKR3	0	1	1	0	0	0	0	0	1	0	0
ACLY	0	0	0	0	0	0	5	2	182	0.89	0.89
ACMSD	0	0	0	0	0	0	0	0	7	0.374	0.374
ACO1	0	0	0	0	0	0	0	1	153	0.375	0.375
ACO2	0	0	0	0	0	5	121	0	18	0.588	0.588
ACOT1	0	0	0	0	0	0	0	0	0	0.92	0.92
ACOT13	0	0	0	0	0	0	0	0	2	0.595	0.595
ACOT2	0	0	0	0	0	0	0	0	0	0.9	0.9
ACOT4	0	0	0	0	0	0	0	0	0	0.716	0.716
ACOT7	0	0	0	0	0	1	142	1	45	0.846	0.846
ACOT8	0	0	0	0	0	4	160	2	49	0.462	0.462
ACOT9	0	0	0	0	0	0	0	0	2	0.323	0.323
ACOX1	0	0	0	0	0	1	142	0	0	0.155	0.155
ACOX2	0	0	0	0	0	0	3	0	0	0.857	0.857
ACOX3	0	0	0	0	0	0	15	0	2	0.264	0.264
ACP1	0	0	0	0	0	0	0	2	51	0.888	0.888
ACP2	0	1	0	0	0	0	0	0	144	0.526	0.526
ACP5	0	0	0	0	0	0	0	0	32	0.941	0.941
ACP6	0	0	1	0	0	1	142	0	6	0.867	0.867
ACPP	0	0	0	0	0	13	197	1	154	0.719	0.719
ACR	0	0	0	0	0	1	42	0	9	0.928	0.928
ACRV1	0	0	0	0	0	17	203	0	0	0.882	0.882
ACSBG1	0	0	0	0	0	0	0	0	23	0.873	0.873
ACSF2	0	0	0	0	0	0	0	0	6	0.807	0.807
ACSL1	0	0	0	0	0	0	104	0	1	0.87	0.87
ACSL3	1	0	0	0	0	1	1	1	4	0.739	0.739
ACSL4	0	0	1	0	0	0	26	0	28	0.904	0.904
ACSL5	0	1	0	0	0	0	0	0	3	0.517	0.517
ACSM2B	0	0	0	0	0	0	0	0	15	0.569	0.569
ACSM3	0	0	0	0	0	0	59	0	8	0.651	0.651
ACSM5	0	0	0	0	0	0	0	1	61	0.925	0.925
ACSS1	0	0	0	0	0	0	0	0	2	0.278	0.278
ACSS2	0	0	0	0	0	0	0	0	0	0.889	0.889
ACSS3	0	0	0	0	0	0	0	0	0	0.922	0.922
ACTA1	0	0	1	0	0	0	65	10	240	0.26	0.26
ACTA2	0	0	1	0	0	0	0	2	104	0.522	0.522
ACTB	0	0	1	0	0	7	163	9	295	0.081	0.081
ACTBL2	0	0	0	0	0	0	0	0	6	0.778	0.778
ACTC1	0	1	1	0	0	0	73	1	172	0.633	0.633
ACTG1	0	0	1	0	0	7	159	4	141	0.871	0.871
ACTG2	0	0	0	0	0	0	0	1	54	0.848	0.848
ACTL6A	0	0	0	0	0	1	74	8	216	0.918	0.918
ACTL6B	0	0	0	0	0	0	0	0	82	0.416	0.416
ACTL7A	0	0	0	0	0	0	0	0	4	0.285	0.285
ACTL8	0	0	1	0	0	0	0	0	0	0.45	0.45
ACTN1	0	1	1	0	0	0	7	4	151	0.835	0.835
ACTN2	0	1	1	0	0	5	158	2	133	0	0
ACTN3	0	1	1	0	0	0	0	1	52	0.555	0.555
ACTN4	0	1	1	0	0	0	3	3	219	0.223	0.223
ACTR10	0	0	0	0	0	0	0	0	5	0.043	0.043
ACTR1A	0	0	0	0	1	0	50	1	150	0.735	0.735
ACTR1B	0	0	0	0	0	0	0	0	46	0.012	0.012
ACTR2	0	0	1	0	0	7	163	0	165	0.844	0.844
ACTR3	0	0	1	0	0	7	163	0	58	0.91	0.91
ACTR3B	0	0	0	0	0	0	0	1	16	0.85	0.85
ACTR5	0	0	0	0	0	0	0	1	57	0.871	0.871
ACTR6	0	0	0	0	0	0	0	0	7	0.82	0.82
ACTR8	0	0	0	0	1	0	0	1	47	0.028	0.028
ACVR1	0	1	1	0	1	11	168	3	85	0.876	0.876
ACVR1B	1	1	1	0	1	13	201	2	192	0.856	0.856
ACVR1C	0	1	1	1	0	7	164	0	33	0.852	0.852
ACVR2A	0	0	1	1	0	1	81	1	5	0.358	0.358
ACVR2B	0	0	1	0	0	2	65	1	40	0.754	0.754
ACVRL1	0	0	1	1	0	22	206	0	29	0	0
ACY1	0	0	0	0	0	0	0	2	40	0.783	0.783
ACY3	0	0	0	0	0	0	0	0	45	0.827	0.827
ACYP1	0	0	0	0	0	2	17	0	0	0.85	0.85
ACYP2	0	0	0	0	0	2	17	0	0	0.785	0.785
ADA	0	1	1	1	0	3	100	0	41	0.889	0.889
ADAM1	0	0	0	0	0	0	0	0	0	0	0
ADAM10	0	0	1	1	0	0	87	1	73	0.554	0.554
ADAM11	0	0	0	0	0	0	35	0	0	0.794	0.794
ADAM12	0	0	1	0	0	0	1	2	38	0.919	0.919
ADAM15	0	1	1	0	0	0	33	1	115	0.855	0.855
ADAM17	0	1	1	1	1	4	195	1	37	0.762	0.762
ADAM18	0	0	1	0	0	1	118	0	0	0.662	0.662
ADAM19	0	0	0	0	0	0	0	0	9	0.843	0.843
ADAM2	0	0	0	0	0	0	11	0	5	0.438	0.438
ADAM20	0	0	0	0	0	0	22	0	0	0.608	0.608
ADAM21	0	0	0	0	0	0	22	0	0	0.822	0.822
ADAM22	0	0	1	0	0	1	120	0	43	0.791	0.791
ADAM23	0	0	0	0	0	1	120	0	0	0.759	0.759
ADAM28	0	0	0	0	0	1	118	0	0	0.886	0.886
ADAM29	0	0	0	0	0	1	118	0	0	0.923	0.923
ADAM33	0	0	0	0	0	0	0	0	11	0.909	0.909
ADAM3B	0	0	0	0	0	0	0	0	1	0	0
ADAM9	0	0	1	0	0	0	126	1	24	0.785	0.785
ADAMTS1	0	0	1	1	0	15	191	0	6	0.874	0.874
ADAMTS10	0	0	0	0	0	0	0	0	40	0.744	0.744
ADAMTS12	0	0	1	0	0	0	0	0	11	0.866	0.866
ADAMTS13	0	0	0	0	0	3	130	0	3	0.466	0.466
ADAMTS2	0	0	0	0	0	0	0	1	35	0.751	0.751
ADAMTS4	0	0	0	0	0	11	195	0	13	0.654	0.654
ADAMTS5	0	0	0	0	0	3	127	0	0	0.755	0.755
ADAMTS8	0	0	0	1	0	15	191	0	0	0	0
ADAMTS9	0	0	1	0	0	20	206	0	1	0.787	0.787
ADAMTSL2	0	0	0	0	0	0	0	0	4	0.877	0.877
ADAMTSL3	0	0	0	0	0	0	0	0	24	0.935	0.935
ADAMTSL4	0	1	0	0	0	1	27	4	106	0.845	0.845
ADAMTSL5	0	0	0	0	0	0	0	0	13	0.885	0.885
ADAP1	0	0	0	0	0	13	179	1	80	0.372	0.372
ADAP2	0	0	0	0	0	0	0	0	36	0.378	0.378
ADAR	0	1	1	0	0	3	100	1	41	0.819	0.819
ADARB1	0	0	0	1	0	0	0	0	30	0.935	0.935
ADARB2	0	0	0	0	0	0	1	0	0	0.195	0.195
ADAT1	0	0	0	0	0	0	0	0	0	0.839	0.839
ADAT2	0	0	0	0	0	0	0	0	2	0.541	0.541
ADAT3	0	0	0	0	0	0	0	0	15	0.58	0.58
ADC	0	0	0	0	0	0	0	0	1	0.777	0.777
ADCK1	0	0	0	0	0	0	0	0	2	0.478	0.478
ADCK2	0	0	0	0	0	0	0	0	26	0.772	0.772
ADCK3	0	0	0	0	0	0	0	0	7	0	0
ADCK5	0	0	0	0	0	0	0	0	10	0.912	0.912
ADCY2	0	0	0	0	0	0	0	0	0	0.634	0.634
ADCY3	0	0	0	0	0	0	0	0	3	0.739	0.739
ADCY4	0	0	0	0	0	0	0	0	3	0.934	0.934
ADCY5	0	0	0	0	0	0	0	0	15	0.691	0.691
ADCY6	0	0	1	0	0	0	0	0	11	0.859	0.859
ADCY7	0	0	0	0	0	0	0	0	25	0.822	0.822
ADCY8	0	0	0	0	0	0	26	0	9	0.47	0.47
ADCYAP1	0	0	1	0	0	5	199	0	3	0.666	0.666
ADCYAP1R1	0	1	1	0	0	0	0	0	0	0.864	0.864
ADD1	0	1	1	0	0	0	0	1	114	0.892	0.892
ADD2	0	0	0	0	0	0	0	0	45	0.768	0.768
ADD3	0	0	0	0	0	0	0	0	11	0.167	0.167
ADH1A	0	0	0	0	0	0	1	0	6	0	0
ADH1B	0	0	0	0	0	0	0	2	34	0	0
ADH4	0	0	0	0	0	1	4	0	0	0.385	0.385
ADH5	0	0	0	0	0	0	1	2	74	0.201	0.201
ADH6	0	0	0	0	0	0	1	1	20	0.136	0.136
ADH7	0	0	0	0	0	1	49	0	0	0.775	0.775
ADHFE1	0	0	0	0	0	0	0	1	4	0.93	0.93
ADI1	0	0	0	0	0	0	0	0	3	0.265	0.265
ADIPOQ	0	1	1	1	0	2	121	0	9	0.041	0.041
ADIPOR1	0	0	0	0	0	0	24	0	6	0.58	0.58
ADIPOR2	0	0	0	0	0	0	0	0	1	0.283	0.283
ADK	0	0	0	0	0	0	0	0	0	0.699	0.699
ADM	0	1	1	1	0	5	200	0	0	0.832	0.832
ADNP	0	1	1	0	0	0	0	3	72	0.871	0.871
ADNP2	0	1	1	0	0	0	0	0	5	0.823	0.823
ADORA1	0	1	0	1	0	13	222	0	6	0.506	0.506
ADORA2A	0	1	0	0	0	17	228	0	13	0.907	0.907
ADORA2B	0	0	0	0	0	5	197	1	14	0.875	0.875
ADORA3	0	0	0	0	0	3	200	0	36	0.42	0.42
ADPGK	0	0	0	0	0	0	0	0	19	0.543	0.543
ADPRH	0	0	0	0	0	0	0	0	8	0	0
ADPRHL2	0	0	0	0	0	0	0	0	1	0.121	0.121
ADRA1A	0	1	0	1	0	25	227	0	0	0	0
ADRA1B	0	0	0	1	0	44	238	0	3	0.859	0.859
ADRA1D	0	0	0	1	0	48	238	0	0	0.056	0.056
ADRA2A	0	0	0	1	0	15	201	0	5	0.332	0.332
ADRA2B	0	0	1	0	0	5	203	0	1	0.798	0.798
ADRA2C	0	0	1	0	0	5	205	0	1	0.406	0.406
ADRB1	0	0	1	0	0	1	42	0	16	0.921	0.921
ADRB2	0	1	1	1	0	5	182	3	191	0	0
ADRB3	0	0	1	0	0	8	158	0	44	0.087	0.087
ADRBK1	0	0	0	0	0	0	0	2	86	0.508	0.508
ADRBK2	0	0	0	0	0	0	0	0	145	0.862	0.862
ADRM1	0	0	0	0	0	0	0	1	168	0.907	0.907
ADSL	0	0	0	0	0	0	0	0	147	0.908	0.908
ADSS	0	0	0	0	0	0	0	0	0	0.929	0.929
ADSSL1	0	0	0	0	0	0	0	0	3	0.867	0.867
ADTRP	0	0	0	0	0	0	0	0	7	0	0
AEBP1	0	0	0	0	0	10	187	0	60	0.728	0.728
AEBP2	0	0	0	0	0	0	0	1	35	3059.6	0.869
AEN	0	1	0	0	0	0	0	3	59	0.683	0.683
AES	0	1	0	0	0	25	208	10	249	0.861	0.861
AFAP1	0	0	0	0	0	0	0	0	20	0.862	0.862
AFAP1L1	0	0	0	0	0	0	0	0	14	0.907	0.907
AFAP1L2	0	0	0	0	1	0	0	1	27	0.761	0.761
AFF1	0	0	0	0	0	0	0	8	101	0.801	0.801
AFF2	0	0	0	0	0	1	75	1	72	0.128	0.128
AFF3	0	0	0	0	0	18	203	1	6	0	0
AFF4	0	0	1	0	0	23	174	3	78	0.425	0.425
AFG3L1P	0	0	0	0	0	0	0	0	8	0	0
AFG3L2	0	0	1	0	0	0	0	0	16	0.871	0.871
AFP	0	0	0	0	0	0	0	0	12	0.516	0.516
AFTPH	0	0	0	0	0	0	0	1	21	0.826	0.826
AGA	0	0	0	0	0	0	0	0	0	0.724	0.724
AGAP1	0	0	0	0	0	0	0	0	26	0.753	0.753
AGAP2	0	1	1	1	0	0	0	2	39	0.728	0.728
AGBL2	0	0	0	0	0	0	0	1	47	0.781	0.781
AGER	0	1	1	1	0	15	209	0	67	0	0
AGFG1	0	0	1	0	0	0	12	2	25	0.307	0.307
AGFG2	0	0	0	0	0	0	0	1	11	0.725	0.725
AGGF1	0	0	1	1	0	6	174	0	9	0.543	0.543
AGK	0	0	0	0	0	0	0	0	26	0.913	0.913
AGL	0	0	0	0	0	0	0	0	155	0.796	0.796
AGO1	0	0	0	0	0	0	0	0	3	0	0
AGO2	0	0	0	0	0	0	0	2	6	0	0
AGPAT1	0	0	0	0	0	0	0	0	12	0.233	0.233
AGPAT2	0	0	0	0	0	0	0	1	4	0.814	0.814
AGPAT3	0	0	0	0	0	0	0	0	3	0.451	0.451
AGPAT4	0	0	0	0	0	0	0	1	37	0.861	0.861
AGPAT5	0	0	1	0	0	0	0	0	32	0.897	0.897
AGPAT6	0	0	1	0	0	0	0	0	4	0.478	0.478
AGPHD1	0	0	0	0	0	0	0	0	9	0.758	0.758
AGPS	0	0	0	0	0	1	142	0	0	0.718	0.718
AGR2	0	1	1	0	0	0	0	1	37	0.806	0.806
AGR3	0	0	0	0	0	0	0	0	18	0.901	0.901
AGRN	0	1	1	0	0	0	39	0	11	0.721	0.721
AGRP	0	0	0	0	0	0	67	0	0	0.94	0.94
AGSK1	0	0	0	0	0	0	0	0	1	0	0
AGT	0	1	1	1	0	17	208	1	77	0.711	0.711
AGTPBP1	0	0	1	0	0	0	0	0	21	0.94	0.94
AGTR1	0	0	1	1	0	0	114	0	17	0.938	0.938
AGTR2	0	1	1	1	0	5	190	0	3	0.893	0.893
AGTRAP	0	0	0	0	0	0	0	2	107	0.57	0.57
AGXT	0	0	0	0	0	0	0	0	4	0.091	0.091
AGXT2	0	0	0	0	0	0	0	0	1	0.295	0.295
AGXT2L2	0	0	0	0	0	0	0	1	13	0.88	0.88
AHCTF1	0	0	0	0	1	0	0	0	8	0.909	0.909
AHCY	0	0	0	0	0	0	0	1	184	0.924	0.924
AHCYL1	0	0	0	0	0	0	0	1	43	0.13	0.13
AHCYL2	0	0	0	0	0	0	0	1	11	0.776	0.776
AHDC1	0	0	0	0	0	0	0	0	24	0.868	0.868
AHNAK	0	0	0	0	0	0	0	3	69	0.911	0.911
AHNAK2	0	0	0	0	0	0	0	0	3	0.894	0.894
AHR	0	1	0	1	0	44	235	6	235	1527.13	0.59
AHRR	0	0	0	0	0	0	0	1	72	6.951	0.208
AHSA1	0	0	0	0	0	0	0	1	50	0.909	0.909
AHSA2	0	0	0	0	0	0	0	0	32	0.514	0.514
AHSG	0	0	0	0	0	0	40	2	106	0.571	0.571
AHSP	0	0	0	0	0	0	0	0	14	0.859	0.859
AICDA	0	0	1	0	0	0	0	0	22	0.59	0.59
AIDA	0	0	0	0	0	0	0	0	14	0.179	0.179
AIF1	0	1	0	1	1	23	231	0	0	0.917	0.917
AIFM1	0	1	1	0	0	3	93	2	170	0.894	0.894
AIFM2	0	1	0	0	0	7	174	0	0	0.68	0.68
AIFM3	0	1	0	0	0	8	185	0	1	0.728	0.728
AIG1	0	0	0	0	0	0	0	0	5	0.634	0.634
AIM2	0	1	0	0	0	10	181	0	2	0.845	0.845
AIMP1	0	1	0	1	0	4	196	0	148	0.728	0.728
AIMP2	0	1	1	1	0	0	0	5	225	0.927	0.927
AIP	0	0	0	0	0	0	0	2	98	0.582	0.582
AIPL1	0	1	0	0	0	0	126	1	11	0.354	0.354
AIRE	0	0	0	0	0	0	0	11	220	2.038	0.182
AJAP1	0	0	0	0	0	0	0	2	41	0.432	0.432
AJUBA	0	0	0	0	1	0	0	0	15	0	0
AK1	0	0	0	0	0	0	0	1	33	0	0
AK2	0	0	0	0	0	0	0	0	9	0.816	0.816
AK3	0	0	0	0	0	0	0	0	21	0.697	0.697
AK4	0	0	0	0	0	0	0	0	8	0	0
AK5	0	0	0	0	0	0	0	0	5	0.658	0.658
AK8	0	0	0	0	0	0	0	0	28	0	0
AKAP1	0	0	0	0	0	0	0	1	32	0.739	0.739
AKAP10	0	0	0	0	0	1	103	1	5	0.053	0.053
AKAP11	0	0	0	0	0	0	85	1	45	0.869	0.869
AKAP12	0	0	0	0	0	1	147	1	48	0.78	0.78
AKAP13	0	1	0	0	0	0	0	1	81	0.921	0.921
AKAP14	0	0	0	0	0	0	0	0	3	0.87	0.87
AKAP17A	0	0	0	0	0	0	0	0	33	0	0
AKAP2	0	0	0	0	0	0	0	2	95	0.941	0.941
AKAP3	0	0	0	0	0	7	163	0	6	0.58	0.58
AKAP4	0	0	0	0	0	0	27	1	7	0.829	0.829
AKAP5	0	0	1	0	0	1	118	0	21	0.912	0.912
AKAP6	0	0	1	0	0	0	0	2	118	0.492	0.492
AKAP7	0	0	0	0	0	5	139	0	13	0.924	0.924
AKAP8	0	0	0	0	1	2	79	5	70	0.241	0.241
AKAP8L	0	0	0	0	0	0	0	2	174	0.528	0.528
AKAP9	1	0	1	0	1	2	131	4	91	0.66	0.66
AKD1	0	0	0	0	0	0	0	0	1	0.703	0.703
AKIP1	0	0	1	0	0	0	0	0	12	0	0
AKIRIN1	0	0	0	0	0	0	0	1	3	0.19	0.19
AKIRIN2	0	0	0	1	0	0	0	0	4	0.494	0.494
AKNA	0	0	0	0	0	0	0	0	2	0.863	0.863
AKR1A1	0	0	0	0	0	0	47	0	21	0.661	0.661
AKR1B1	0	0	0	1	0	3	152	1	21	0.718	0.718
AKR1B10	0	0	0	0	0	0	106	0	13	0.742	0.742
AKR1C1	0	0	1	0	0	3	128	0	20	0.839	0.839
AKR1C2	0	0	1	1	0	0	107	0	3	0.854	0.854
AKR1C3	0	1	1	1	0	1	50	0	25	0.783	0.783
AKR1C4	0	0	0	0	0	0	3	0	0	0.636	0.636
AKR1D1	0	0	0	0	0	1	121	0	0	0.723	0.723
AKR7A2	0	0	0	0	0	2	39	0	1	0.701	0.701
AKR7A3	0	0	0	0	0	0	3	0	9	0.761	0.761
AKT1	1	1	1	1	1	5	193	34	342	0.193	0.193
AKT1S1	0	1	0	0	0	0	0	2	64	0.87	0.87
AKT2	1	1	1	0	0	1	1	4	129	0.805	0.805
AKT3	0	0	0	0	0	0	0	1	30	0.339	0.339
AKTIP	0	1	0	0	0	0	0	4	84	0.891	0.891
ALAD	0	0	0	0	0	0	34	0	0	0.886	0.886
ALAS1	0	0	0	0	0	0	34	2	74	0.904	0.904
ALAS2	0	0	1	0	0	2	94	0	66	0.901	0.901
ALB	0	1	0	0	0	4	119	0	45	0.109	0.109
ALCAM	0	0	1	0	0	5	152	0	1	0.56	0.56
ALDH16A1	0	0	0	0	0	0	0	0	3	0.435	0.435
ALDH18A1	0	0	0	0	0	0	0	1	65	0	0
ALDH1A1	0	0	0	0	0	0	3	2	11	0.76	0.76
ALDH1A2	0	1	1	1	0	0	0	0	4	0.906	0.906
ALDH1A3	0	1	0	0	0	2	143	0	0	0.575	0.575
ALDH1B1	0	0	0	0	0	0	0	1	160	0.919	0.919
ALDH1L2	0	0	0	0	0	0	0	0	2	0.884	0.884
ALDH2	1	0	0	0	0	2	38	1	20	0	0
ALDH3A1	0	0	0	1	0	1	51	1	17	0.769	0.769
ALDH3A2	0	0	0	0	0	4	183	0	2	0.441	0.441
ALDH3B1	0	0	0	0	0	2	143	0	22	0.934	0.934
ALDH3B2	0	0	0	0	0	2	143	0	0	0.758	0.758
ALDH4A1	0	0	0	0	0	0	0	0	0	0.853	0.853
ALDH5A1	0	0	0	0	0	2	133	0	0	0.534	0.534
ALDH6A1	0	0	1	0	0	0	0	1	16	0.591	0.591
ALDH7A1	0	0	0	0	0	1	112	0	12	0.374	0.374
ALDH9A1	0	0	0	0	0	1	51	2	46	0.144	0.144
ALDOA	0	0	0	0	0	0	5	2	200	0	0
ALDOB	0	0	0	0	0	0	0	0	8	0.242	0.242
ALDOC	0	0	1	0	0	0	0	0	146	0.899	0.899
ALG1	0	0	0	0	0	0	27	0	0	0.72	0.72
ALG10B	0	0	0	0	0	0	0	0	2	0.806	0.806
ALG12	0	0	0	0	0	0	0	0	2	0.575	0.575
ALG13	0	0	0	0	0	0	0	0	10	0.062	0.062
ALG2	0	0	0	0	0	0	0	0	23	0.642	0.642
ALG3	0	0	0	0	0	0	0	0	3	0.917	0.917
ALG5	0	0	0	0	0	0	27	0	0	0.366	0.366
ALG6	0	0	0	0	0	1	29	0	0	0.908	0.908
ALG8	0	0	0	0	0	0	0	0	4	0.927	0.927
ALG9	0	0	0	0	0	0	0	0	0	0.318	0.318
ALK	1	1	1	1	0	7	189	8	148	0.314	0.314
ALKBH1	0	0	0	0	0	0	3	0	4	0.6	0.6
ALKBH3	0	0	0	1	0	0	0	1	19	0.396	0.396
ALKBH4	0	0	0	0	0	0	0	0	2	0.894	0.894
ALL1	0	0	0	0	0	0	0	1	110	0	0
ALMS1	0	0	0	0	1	0	0	0	4	0.727	0.727
ALOX12	0	1	1	1	0	20	223	1	6	0.81	0.81
ALOX12B	0	0	0	0	0	3	176	0	0	0.724	0.724
ALOX15	0	0	0	0	0	2	187	0	0	0.577	0.577
ALOX15B	0	1	1	1	0	21	215	0	0	0.854	0.854
