Target_Cancer_Gene	Target_GO_cell.death	Target_GO_cell.differentiation	Target_GO_cell.proliferation	Target_GO_mitototic.cell.cycle	Target_HumanNet.CGS_L1	Target_HumanNet.CGS_L2	Target_InteractNet.CGS_L1	Target_InteractNet.CGS_L2	Target_ReguleNet.DEG_score	Target_DEG_score	TF_Cancer_Gene	TF_GO_cell.death	TF_GO_cell.differentiation	TF_GO_cell.proliferation	TF_GO_mitototic.cell.cycle	TF_HumanNet.CGS_L1	TF_HumanNet.CGS_L2	TF_InteractNet.CGS_L1	TF_InteractNet.CGS_L2	TF_ReguleNet.DEG_score	TF_DEG_score	diff_Pval	avg_Pval	TF_sign	Dnase	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K79me2	H3K9ac	H3K9me3	H4K20me1	Dist_GWAS_2D	Early.to.late_Rate	PhastCons	0
0	0	0	0	0	0	47	0	21	0.661	0.661	0	0	0	0	0	0	0	0	12	2379.22	0.299	5.18177	2.59089	-1	0	0	0	20.32644518	12.78993548	0	0	0	0	0	0	7617655	16.6667	0.004	0
0	0	0	0	0	0	0	2	24	0.109	0.109	0	0	0	0	0	0	0	0	2	274.441	0.71	5.29757	2.64879	-1	0	17.255374	0	0	0	10.628538	47.75474586	0	17.808981	0	0	7777086	42	0	0
1	0	1	1	1	26	215	18	264	3892.31	0	0	0	0	0	0	0	0	0	15	17.846	0.465	5.44249	2.72125	-1	0	21.771741	0	0	15.23830508	10.6271725	49.63464886	10.02793103	23.301388	0	0	6577019	5.77778	0.003	0
1	0	1	1	1	21	213	7	107	0.816	0.816	0	0	1	0	0	0	0	0	39	3288.89	0.026	5.21467	2.60733	-1	34	23.7468935	0	0	0	18.7311665	41.58745937	38.60735135	28.364174	0	0	2932758	2.66667	0.001	0
0	0	0	0	0	0	0	0	2	0.866	0.866	0	0	1	1	0	0	0	4	130	5105.74	0.88	1.22536	5.73994	-1	367	19.50710967	0	0	0	11.7797495	50.97132412	0	26.164831	0	0	2031045	30.3333	0.013	0
0	0	0	0	0	0	0	1	46	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.09162791	0	13.51240506	4.760534	0	0	0	0	0	460665	26.3333	0	0
0	0	0	0	0	0	0	0	0	0.829	0.829	0	0	0	0	0	0	0	0	17	4845.5	0.797	6.14509	3.07254	1	0	0	17.46539474	0	10.43176471	9.854034667	14.3180735	0	0	0	0	171090	27.3333	0	0
0	0	1	0	0	0	0	2	125	0.489	0.489	0	0	0	0	0	0	0	0	0	0	0	5.96257	2.98129	-1	0	0	16.54346505	0	0	0	0	0	0	0	0	1774963	0.115385	1	0
0	0	0	0	0	0	0	0	182	0.569	0.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.557164	0	14.85908257	15.85885057	12.450435	57.61346733	43.80261905	27.332755	0	0	3051498	42.5	0	0
1	0	1	1	0	5	138	18	174	0.805	0.805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.058287	0	10.699375	34.38908235	5.17384	8.192810692	39.59926606	5.106869	0	0	132267	0.4	0	0
0	0	0	0	0	0	0	0	7	0.701	0.701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.77916084	0	12.24105263	0	0	0	0	0	0	295701	26.3333	0.013	0
0	1	0	0	0	2	176	1	52	0.789	0.789	0	0	1	0	0	0	0	0	1	2499.03	0.316	5.17263	2.58631	1	0	14.7354065	0	19.05784499	0	10.216002	62.7345118	35.47490066	19.061511	0	0	659440	0.0923077	0	0
0	0	0	0	0	0	0	0	22	0.92	0.92	0	0	0	0	0	0	0	0	0	0	0	5.58838	2.79419	-1	0	10.70973	14.15551402	0	11.19748503	9.4928905	38.9897197	18.17444934	8.81101	0	0	1358401	0.209302	0.004	0
0	0	0	0	0	0	0	0	22	0.92	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.70973	14.15551402	0	11.19748503	9.4928905	38.9897197	18.17444934	8.81101	0	0	1359535	0.181818	0.001	0
0	0	0	0	0	0	0	6	170	0.931	0.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182864	38	0.002	0
0	0	1	0	0	0	0	0	2	0.815	0.815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.656702	0	0	15.64950673	9.58205675	0	0	4.905117	0	0	1187076	22	0.987	0
0	0	0	0	0	10	181	1	62	0.055	0.055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4968435	0.305556	0.001	0
0	0	0	0	0	0	0	0	2	0.707	0.707	0	0	0	0	0	0	0	3	67	1212.35	0.825	5.10403	2.55201	-1	0	3.060225333	0	0	17.61134752	5.2298855	4.6840845	0	0	0	0	3045849	43	0.001	0
0	0	0	0	0	0	0	0	2	0.143	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3031699	13.5	0	0
0	0	0	0	0	1	74	1	72	0.831	0.831	0	0	0	0	0	0	0	0	0	0	0	5.10458	2.55229	1	0	7.639114	0	0	30.60287105	9.6821195	5.8219615	0	7.335672	0	0	288346	23	0	0
0	0	0	1	0	0	0	1	54	0.751	0.751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1856880	4.42857	0.019	0
0	0	0	0	0	0	0	1	4	0.876	0.876	0	0	0	0	0	0	0	0	0	0	0	6.02687	3.01343	1	14	7.64955225	0	0	18.77344444	6.0840205	7.302118333	0	7.099535667	0	0	3790070	17.75	0	0
0	0	0	0	0	0	42	0	0	0.252	0.252	0	0	0	0	0	32	218	3	112	3886.41	0.787	5.4698	2.7349	-1	0	0	18.33418557	0	0	0	0	0	0	0	0	4650985	0.0816327	1	0
0	0	0	0	0	0	0	0	18	0.136	0.136	0	0	0	0	0	0	0	0	0	0	0	6.08092	3.04046	1	0	6.875131	0	0	25.0864	8.593556	0	0	0	0	0	3152630	32	0.009	0
0	0	0	0	0	0	0	1	43	0.13	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.883857	0	10.869375	40.69625115	7.6948134	3.5705365	0	10.099731	0	0	2082865	30.3333	1	0
0	0	0	0	0	0	0	1	9	0.556	0.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.52730567	0	0	30.11281734	11.9798505	9.688518	0	15.333154	0	0	1914179	45.5	0	0
0	1	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	5.51856	2.75928	-1	25	17.376131	0	0	20.3881746	12.734846	34.6571556	19.03791425	13.247442	0	0	1482897	3.22222	0	0
0	0	0	0	0	0	0	0	11	0.354	0.354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.03054313	0	10.09565217	10.4455985	28.45999	0	6.79094	0	0	541221	0.307692	0	0
0	0	0	0	0	0	0	0	4	0.926	0.926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44781	0.140351	0.992	0
0	0	1	0	0	1	75	0	167	0.877	0.877	0	0	0	0	0	0	0	0	0	0	0	5.28904	2.64452	-1	0	7.004114	10.75448276	0	13.07111111	12.552264	47.75503775	0	13.121395	0	0	1089179	16.3333	0.517	0
1	0	0	0	0	1	1	2	127	0.374	0.374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.770388	26.66698507	12.04693208	11.032	8.836537333	0	0	0	14.64242991	0	2017720	29.6667	0	0
1	0	0	0	0	1	1	2	127	0.374	0.374	0	0	0	0	0	0	0	0	0	0	0	6.58838	3.29419	1	58	4.770388	37.92147416	11.96992481	23.11407407	20.644699	34.382421	0	7.244098	17.20302222	16.47418803	1980458	22	1	0
1	0	1	0	0	1	1	2	41	0.916	0.916	0	0	0	0	0	0	0	0	13	5103.56	0.28	6.03716	3.01858	-1	0	6.895444	25.40013393	0	17.80816327	12.4859245	49.154246	0	11.325392	0	0	50680	0.0851064	0.958	0
0	0	0	0	0	0	0	0	2	0.859	0.859	0	0	0	0	0	0	0	0	0	0	0	5.49349	2.74675	-1	0	9.586595	11.93873418	11.7	0	7.4363096	33.04365689	0	11.539481	0	12.63111111	1076550	0.695652	0	0
0	1	0	0	0	1	27	4	106	0.845	0.845	0	0	1	1	0	45	233	1	15	3500.53	0.42	0	2.23e-06	0	52	8.626602	14.56849315	0	19.74804819	12.7307465	8.170015667	0	7.089934	0	0	632063	28.6667	0.001	0
0	1	0	0	1	0	0	6	226	0.925	0.925	0	0	0	0	0	0	0	0	4	261.956	0.259	5.3279	2.66395	1	0	20.9815538	0	32.58287614	52.284	17.432813	35.13826425	21.01703226	21.032208	0	0	325478	23	0	0
0	0	0	0	0	2	82	0	38	0.68	0.68	0	0	0	0	0	0	0	0	0	0	0	5.59007	2.79503	-1	0	19.268908	0	13.25627907	0	12.585385	82.44677017	61.93383459	27.670076	0	0	265371	46.5	0.996	0
0	0	1	0	0	0	0	0	10	0.76	0.76	0	0	0	0	0	0	0	0	0	0	0	0	4.05e-06	0	32	33.4340725	0	34.48550633	0	22.264855	87.01322944	54.08646217	47.783805	0	10.31664122	1046581	11.25	0	0
0	0	1	1	0	0	0	1	33	0.022	0.022	0	0	0	0	0	0	0	0	11	968.898	0.38	6.20971	3.10486	-1	40	10.013604	0	11.06363636	35.44928	7.489992	6.130568667	0	9.05605	0	0	161324	22.25	0	0
0	0	1	0	0	0	0	4	83	0.865	0.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.86432	0	15.0352	48.56398524	14.0569215	10.43995525	17.93668874	30.067947	0	0	100015	31	0	0
0	0	0	0	0	2	188	0	0	0.224	0.224	0	0	0	0	0	0	0	0	45	3679.18	0.816	5.65758	2.82879	-1	0	0	0	0	31.17286822	0	0	0	0	0	0	30209	30.3333	0.049	0
0	0	0	0	1	0	0	1	35	0.399	0.399	0	0	0	0	0	0	0	1	90	4974.88	0.483	0.24934	6.32879	1	0	0	11.12208835	0	10.1452381	0	0	0	0	0	0	121758	30	0.001	0
0	0	0	0	0	0	0	2	163	0.632	0.632	1	0	1	1	0	1	1	3	225	4724.96	0.838	5.64589	2.82294	-1	341	19.625774	0	37.80275	0	13.978881	99.60131767	45.0851462	32.132361	0	0	322404	28	0.948	0
0	1	1	0	0	3	100	1	41	0.819	0.819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.238597	12.19362319	0	24.78936585	13.117259	0	0	0	0	0	453938	34	0.003	0
0	1	1	0	0	3	100	1	41	0.819	0.819	0	0	0	0	0	0	0	0	0	0	0	5.8729	2.93645	-1	0	14.494411	0	10.87191489	0	12.2963385	73.201491	36.15036855	23.121355	0	0	233769	11	0.868	0
0	1	1	0	0	0	33	1	115	0.855	0.855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2666185	0	0	20.16010204	14.094081	41.56697733	0	10.133653	0	0	93407	81	0	0
0	0	1	0	0	4	195	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.919222667	0	0	15.35879518	17.175404	10.50150167	0	5.599198	0	0	21669	17.6	0	0
0	0	0	0	0	0	0	3	144	0.883	0.883	0	0	1	0	0	13	187	1	38	2987.22	0.841	5.87943	2.93972	-1	0	0	0	18.1126069	12.54451613	0	0	0	0	0	0	19295	22.25	0	0
0	1	0	0	0	0	58	1	197	0.931	0.931	0	1	1	1	0	9	165	1	43	2997.35	0.489	5.38405	2.69203	1	0	0	13.53206897	0	15.44851064	11.468247	64.95693386	0	0	0	0	338726	31.3333	0.231	0
0	1	1	0	0	0	33	1	115	0.855	0.855	0	0	1	1	1	13	197	6	223	3798.98	0.826	5.21968	2.60984	-1	0	0	0	24.26244275	22.7060746	0	0	31.49827715	0	0	13.27211823	229979	23.5	0.172	0
0	1	1	1	1	1	113	3	124	0.838	0.838	0	0	0	0	0	0	0	1	10	21.299	0.853	0	3.32e-06	0	155	11.277123	0	0	14.29333333	10.6449205	48.8733865	28.27978947	13.14315	0	0	178838	15.3333	0	0
0	0	1	1	0	0	0	1	28	0.899	0.899	0	0	0	0	0	0	0	0	0	0	0	5.52288	2.76144	-1	88	29.014306	0	21.8376	21.35169811	15.689708	109.5779943	18.23178082	38.34438	0	0	146791	15.3333	0	0
0	1	0	0	0	0	58	1	197	0.931	0.931	0	0	0	0	0	0	0	0	8	5178.4	0.043	0	7.34e-06	0	36	20.50092425	0	26.05035813	46.38707627	9.241434167	36.85774404	68.11161609	29.061111	0	0	72769	23.75	0	0
0	1	0	1	1	0	0	0	37	0.887	0.887	0	0	0	0	0	0	0	0	4	1143.29	0.079	0	6.05e-06	0	62	13.5629505	0	0	0	15.91683625	26.8324601	0	21.214699	0	0	846034	76	0.999	0
1	1	1	0	1	1	1	4	247	0.717	0.717	0	0	0	0	0	0	0	0	0	0	0	5.16431	2.58216	1	21	11.9488795	0	11.21111111	0	11.8227445	39.64367671	41.12291961	20.679947	0	0	1717103	4.11111	0.034	0
0	0	0	0	0	0	0	0	2	0.321	0.321	0	0	0	0	0	0	0	0	0	0	0	5.0804	2.5402	-1	0	6.0544855	0	17.91537167	37.89347061	9.4303786	5.836374	41.12291961	5.089706	0	0	1708339	4.11111	0.002	0
0	1	1	1	0	2	74	1	46	0.908	0.908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.41876543	0	12.16032	5.0987305	0	0	0	0	0	710683	0.0967742	0	0
0	1	1	1	0	1	20	0	12	0.775	0.775	0	0	0	0	0	0	0	0	15	1117.48	0.325	5.22185	2.61092	-1	0	8.893309	0	0	14.77403509	9.898305	28.2335365	0	10.587533	0	0	144283	3.77778	0	0
0	1	0	0	0	0	0	0	5	0.034	0.034	0	0	0	0	0	0	0	0	0	0	0	5.52578	2.76289	-1	0	0	0	0	0	0	0	0	0	0	0	443763	22.6667	0.853	0
0	0	0	0	0	10	181	1	20	0.908	0.908	0	0	0	0	0	0	0	0	0	0	0	5.26922	2.63461	1	0	12.5629945	17.38257778	0	18.83010753	6.9794695	63.8950485	0	0	0	10.117	766743	7.16667	0	0
1	0	1	1	1	1	1	5	131	17.722	0.134	0	0	0	0	0	0	0	0	2	5048.55	0.578	5.1349	2.56745	-1	0	8.39971272	0	17.58688423	25.93751361	8.1514825	5.877796	22.81361662	5.736897	0	0	82149	0.444444	0	0
0	0	0	0	0	10	195	1	57	0.893	0.893	0	0	0	0	0	0	0	0	4	32.023	0.738	5.19586	2.59793	1	0	6.662008	0	22.15503448	15.57679012	7.726413667	5.247551	0	5.710522	0	0	1892017	27.6667	0	0
0	0	0	0	0	0	0	1	47	0.894	0.894	0	1	1	1	0	19	201	41	296	4859.97	0.911	5.19586	2.59793	1	0	17.6777815	0	26.05099938	13.53977358	12.2234855	84.877115	21.3355094	27.00108	0	0	1623098	0.5	0	0
0	0	1	0	0	0	0	1	47	0.851	0.851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1982316	9.2	0.385	0
0	0	0	0	0	0	0	0	8	0.481	0.481	0	0	0	0	0	0	0	0	13	4226.27	0.733	5.20691	2.60345	1	18	21.1062535	0	14.40621622	30.75400447	8.379103	6.322650969	0	17.38784	16.876	0	2773751	29	0.204	0
0	0	1	1	0	6	181	0	0	0.855	0.855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3252666	9	0.167	0
0	0	1	0	0	3	127	1	32	0.315	0.315	0	0	0	0	0	13	171	2	81	737.16	0.921	5.71444	2.85722	1	20	0	11.7156582	0	0	0	0	0	0	0	0	6307291	0.0235294	0	0
0	0	0	0	0	10	181	1	3	0.017	0.017	0	0	0	0	0	0	0	0	2	2964.33	0.83	5.44129	2.72065	-1	0	9.3545055	0	15.01621622	0	10.21394414	63.92069818	54.12729659	8.79718	0	33.53386667	1914987	22.5	0	0
0	0	0	0	0	0	0	0	3	0.482	0.482	0	0	0	0	0	0	0	0	0	0	0	6.5544	3.2772	-1	0	0	23.40386029	0	12.53911765	10.5259685	19.95273733	0	8.399343	11.77826087	0	215532	18	0	0
0	0	1	1	0	21	200	0	19	0.677	0.677	1	1	1	0	1	12	220	61	369	1840.09	0.168	5.54363	2.77182	-1	9	0	0	0	11.41165049	5.278763444	0	0	0	0	0	156172	44.5	0	0
0	0	1	1	0	21	200	0	19	0.677	0.677	0	0	1	1	0	0	0	0	30	4437.01	0.694	5.5391	2.76955	-1	9	0	0	0	11.41165049	5.278763444	0	0	0	0	0	156252	44.5	0	0
0	0	1	1	0	21	200	0	19	0.677	0.677	0	0	0	0	0	0	0	0	0	0	0	0	9.48e-06	0	0	0	0	0	11.41165049	5.278763444	0	0	0	0	0	156335	44.5	0.008	0
0	0	1	1	0	21	200	0	19	0.677	0.677	0	0	0	0	0	0	0	0	0	0	0	0	9.48e-06	0	0	0	0	0	11.41165049	5.278763444	0	0	0	0	0	156403	44.5	0	0
0	0	1	0	0	0	0	6	247	0.889	0.889	0	1	1	1	0	19	200	4	130	4837.45	0.737	5.38405	2.69203	-1	0	30.7786235	0	0	0	8.404740667	74.8015916	0	26.403639	0	0	359602	23	0.004	0
0	0	0	0	0	0	0	1	10	0.872	0.872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.21130435	3.234301	0	0	0	0	0	710998	23	0	0
0	0	0	0	0	0	0	0	9	0	0	0	1	1	1	0	11	201	10	217	2215.5	0.695	5.08566	2.54283	-1	0	18.025146	16.33795918	0	0	14.455003	88.696769	0	29.141399	10.53122807	0	938128	37.5	0.913	0
0	1	0	0	0	3	159	0	32	0.818	0.818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.200355	0	10.24842105	0	13.671085	63.30689957	42.34309091	21.386282	0	14.7627907	2204691	2.07692	1	0
0	0	0	0	0	0	0	1	5	0.895	0.895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4728433	0.444444	0	0
0	0	0	0	0	0	27	0	1	0.621	0.621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.410629	0	0	16.81732794	5.603864	0	0	5.858277833	0	0	4335241	18.6667	0.001	0
0	0	0	0	0	0	26	0	10	0.771	0.771	1	0	0	0	0	1	1	3	69	4637.8	0.873	5.39147	2.69573	-1	0	21.136395	0	19.18946779	17.59289474	16.186644	75.2258415	27.52851948	26.671826	0	0	3771076	2.05263	0.001	0
0	0	0	0	0	0	0	0	151	0.35	0.35	0	0	0	0	0	0	0	0	0	0	0	5.451	2.7255	1	0	13.148973	0	0	0	8.9611065	29.350538	0	12.268484	0	0	1076613	24	0	0
0	0	0	0	0	0	0	0	4	0.735	0.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.74339426	0	0	7.2599025	0	0	0	0	0	270741	18.4	0	0
0	0	1	0	0	39	217	3	73	3133.17	0.122	0	0	0	0	0	0	0	0	3	75.625	0.245	5.14935	2.57468	1	82	10.1862105	10.96363636	0	40.81544757	6.850418	5.786805	0	7.894207	0	0	131831	17.6	0.015	0
0	0	0	0	0	0	0	0	27	0.353	0.353	0	0	0	1	0	0	0	10	235	5120.89	0.825	5.31336	2.65668	1	0	0	19.7441989	0	18.52809249	0	0	0	0	0	0	1066703	22.5	0.057	0
0	0	0	0	0	0	0	0	27	0.353	0.353	0	0	1	1	0	0	0	3	215	3140.72	0.679	5.81531	2.90766	1	0	0	0	0	0	0	0	0	0	0	0	1040513	17.8	0.002	0
0	0	0	0	0	0	0	0	59	0.634	0.634	0	0	0	0	0	0	0	0	0	0	0	5.0804	2.5402	-1	0	0	0	0	24.23623853	5.3009915	0	0	0	0	0	1011371	23.25	0.055	0
0	0	1	0	0	0	0	1	84	0.853	0.853	0	1	1	0	0	0	0	9	268	5026.94	0.895	5.39254	2.69627	-1	0	0	0	16.65803509	18.97756522	0	0	0	0	0	0	595876	28.3333	0	0
1	0	1	0	0	1	1	2	45	4660.12	0.888	0	0	0	0	0	0	0	0	0	0	0	5.14935	2.57468	1	0	0	0	14.44965116	10.43517588	0	0	0	0	0	0	1050315	26	0.307	0
0	1	0	0	0	10	202	0	5	0.383	0.383	0	0	0	0	0	0	0	0	0	0	0	5.06198	2.53099	-1	0	0	0	0	20.28921569	8.357887	5.587442667	0	3.222807	0	0	2552926	19	0.002	0
