Target_Cancer_Gene	Target_GO_cell.death	Target_GO_cell.differentiation	Target_GO_cell.proliferation	Target_GO_mitototic.cell.cycle	Target_HumanNet.CGS_L1	Target_HumanNet.CGS_L2	Target_InteractNet.CGS_L1	Target_InteractNet.CGS_L2	Target_ReguleNet.DEG_score	Target_DEG_score	TF_Cancer_Gene	TF_GO_cell.death	TF_GO_cell.differentiation	TF_GO_cell.proliferation	TF_GO_mitototic.cell.cycle	TF_HumanNet.CGS_L1	TF_HumanNet.CGS_L2	TF_InteractNet.CGS_L1	TF_InteractNet.CGS_L2	TF_ReguleNet.DEG_score	TF_DEG_score	diff_Pval	avg_Pval	TF_sign	Dnase	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me2	H3K4me3	H3K79me2	H3K9ac	H3K9me3	H4K20me1	Dist_GWAS_2D	Early.to.late_Rate	PhastCons	TorF
0	0	1	0	0	0	0	2	50	0.728	0.728	1	1	0	0	1	2	77	2	63	4117.55	0.925	0	6.55e-05	0	14.6667	1.08	4.86	3.66	3.5	3.8	1.42	0.64	1	6.96	10.36	1729293	0.043956	0.682	1
0	0	0	0	0	0	0	1	149	0.902	0.902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.66667	30.74	4.16	2.5	1.8	62.4	115.6	2	65.76	1.12	2	899186	0.944444	0	1
0	0	1	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	17	4050.98	0.159	0	1.65e-05	0	2.66667	190.38	2.5	8.44	1.08	28.72	116.12	29.34	277.32	0	1	1735699	15.75	0.218	1
0	0	0	0	0	0	0	2	67	0.563	0.563	0	0	0	0	0	0	0	0	146	3814.37	0.928	0	0.00148	0	3.33333	36.22	5	10.18	20.6	123.9	140.28	48.04	125	3	3.96	724730	91	0.026	1
0	0	0	0	0	15	197	0	49	4115.32	0.881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	224.64	2.66	5.86	1.18	17.5	195.82	21.48	396.04	0.96	2	1334209	40	0	1
0	1	0	1	0	6	181	0	0	4117.55	0.533	0	0	0	0	0	4	124	9	172	4118.44	0.893	3.21836	1.24E-03	-1	16	15.52	2.12	0.66	1.14	14.26	17.49	0	5.88	0	1.56	4298209	29	0.631	1
0	0	0	0	0	0	0	0	17	0.528	0.528	0	0	1	0	0	2	105	39	339	4117.55	0.886	0	0.000484	0	21.6667	48.68	3.72	5.18	1.84	80.72	135.6	9.24	123.96	6	2	3031863	32	0.791	1
0	0	0	0	1	0	0	2	87	0.831	0.831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	71.8	0.12	3.12	33.2	24.58	8.85	9.52	43.56	4.68	1	5993455	31.3333	0	1
0	0	0	0	0	0	0	0	73	4115.95	0.769	0	0	0	0	0	0	0	0	0	0	0	0	0.000179	0	3.66667	17.92	4	4.56	49.6	40.46	12.87	2.64	29.72	6	0	6280629	9.44444	0	1
0	0	0	0	0	0	0	3	176	0	0	0	0	0	0	0	13	183	5	117	4117.55	0.556	0	6.39e-06	0	10	5	3	4.56	17.82	8.82	1.69	26.4	6	3.56	7.24	305555	22.75	0.765	1
0	0	0	0	0	0	0	0	16	0.686	0.686	1	1	0	0	1	2	77	2	63	4117.55	0.925	0	1.68e-06	0	30	1.12	1.5	6.96	1.8	1.66	4.37	3	2.44	3.08	10.96	268957	11.5	0	1
0	0	1	1	0	28	211	3	156	4094.62	0.904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.6667	36.52	2	3.78	25.34	62.26	19.6	1.56	41.08	3.24	1	1318932	15	0.037	1
0	0	1	1	1	0	0	5	132	3938.45	0.934	0	0	0	1	0	0	0	10	235	4116.12	0.9	0	1.21e-10	0	5.66667	77.66	3.8	8.62	0.5	23.92	118.84	20.44	138.88	1.44	9.24	813755	20.25	0	1
0	0	1	0	0	0	0	4	67	0.554	0.554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333	3.3	2	3.98	18.64	8.16	2.97	1.84	0	1	1	783648	46.5	0.019	1
0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.33333	66.24	0.66	0.5	10.04	39.84	22.65	1.18	45.52	2.64	0	2433611	46	1	1
0	1	1	1	0	20	223	1	6	0	0	0	0	0	0	0	13	183	5	117	4117.55	0.556	0	9.94e-05	0	32.6667	3.82	12.12	6.92	16.32	9.58	4.04	2	2.84	8.72	5.04	503168	5.54545	0.023	1
0	0	0	1	0	1	43	11	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333	2	100.58	11.86	7.32	5.94	8.84	5.42	8.6	22.28	8	6834569	26.5	0	1
0	0	0	0	0	14	200	8	260	4107.52	0.907	1	0	1	1	0	1	1	1	45	4118.18	0.633	1.77422	6.71E-08	-1	43.3333	3.14	0	0.32	0.88	2	2.62	0	5.72	0.32	0	877922	29	0.993	1
0	0	0	1	0	19	200	0	37	0.859	0.859	0	0	0	0	0	0	0	0	15	4105.17	0.903	2.01547	3.75E-04	-1	13.6667	57.34	2.36	3.14	4.34	41.16	53.63	0	102.56	3.2	1	379310	24	0.081	1
0	0	0	0	0	0	0	1	52	0	0	0	0	0	0	0	0	0	0	9	4006.78	0.918	1.77896	2.18E-04	-1	60	38.06	2	0.98	1.06	7.56	42.96	1.8	33.04	1.24	0	1107359	22.75	0.054	1
0	0	0	0	0	0	0	0	8	0	0	0	1	1	1	0	5	101	13	246	4117.55	0.869	0	2.68e-06	0	64.6667	3.14	0.44	1.36	0.94	5.42	4.46	0	12.88	0	0.8	616222	0.947368	0	1
0	0	0	0	0	7	201	0	33	0.925	0.925	0	1	0	1	0	6	181	0	0	4117.55	0.533	0.84993	3.66E-05	1	4.66667	9.36	39.4	3.9	10.46	50.28	41.97	4.32	16.48	2.8	8.36	11728329	0.0405405	0	1
0	0	1	1	0	0	0	2	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115.333	166.32	0	6.5	8.82	33.8	16.68	7.38	99.52	1	1	15669	21.3333	0	1
0	0	0	1	0	17	212	0	0	0.744	0.744	0	1	1	0	1	0	0	17	257	4115.95	0.375	0	7.29e-05	0	4.66667	112	4	5.86	3.22	51.7	190.38	10.88	174.24	6	1.52	1694568	44	1	1
0	0	0	0	0	0	0	0	182	0.784	0.784	0	0	0	0	0	0	0	0	0	0	0	1.42736	4.87E-05	1	4.33333	41.2	2.7	23.58	1.94	45.32	110.14	34.92	112.24	4	26.8	3135325	42.5	1	1
0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.18946	4.65E-05	-1	3	3.86	54.74	1.66	16.5	47.3	23.72	0.88	5.48	2.8	11.96	3046193	0.122449	0.1	1
0	0	0	0	0	0	0	3	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66667	29.84	2.34	13.06	18.62	80.8	66.62	67.38	92.44	8	16.08	307464	26.6667	0	1
0	0	0	1	0	1	29	0	0	0.739	0.739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	165.74	3	2	1	35.34	170.75	8.9	243.24	4	3	87305	15.2	0.004	1
0	1	0	0	0	5	133	0	18	0.844	0.844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	6.14	0.38	5.54	17.6	28.68	17.43	20.9	23.96	3.64	10.28	1495049	30	0.105	1
0	1	1	0	0	25	206	0	161	0.381	0.381	0	0	0	0	0	0	0	0	0	0	0	0	0.000168	0	38.6667	16.82	1.08	3.58	16.96	29.74	17.75	0.2	7.2	8.96	3	2671463	29	0.043	1
0	0	0	0	0	0	0	0	15	0.506	0.506	0	1	0	1	0	6	181	0	0	4117.55	0.533	0	7.68e-06	0	36.3333	44.22	2.5	2.98	1	18.02	109.3	3.26	83.8	5	0	1169629	34	0.003	1
0	0	0	0	0	2	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.33333	35.34	6.7	3.1	1.32	45.38	92.35	0	52.68	3	1	6369670	0.448276	0.002	1
0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	2.13755	4.69E-04	-1	5.33333	7.92	8.78	2.5	5.14	30.96	27.78	0.5	16	2.24	4.32	718503	32	0.03	1
0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.66667	89.64	1.12	3.82	1	26.16	60.18	1.9	135.12	0	0	41310	34	0	1
0	0	0	1	0	0	0	0	26	0.828	0.828	0	0	0	0	0	0	0	0	0	0	0	0	4.9e-05	0	53.6667	95.9	2.26	5.08	31.68	40.1	11.27	4.84	50.84	2	2	1250835	7	0	1
0	0	0	0	0	0	0	0	189	0.047	0.047	0	0	0	0	0	0	0	0	9	2859.14	0.782	3.34485	1.62E-03	1	4.33333	40.92	0.3	1.2	0.5	1.56	12.27	0.14	32.04	0	0	1190063	30	1	1
0	0	1	1	0	0	0	1	36	0.826	0.826	0	0	0	0	0	0	0	0	0	0	0	0.39856	1.22E-05	1	15.6667	167.1	2.54	8.5	3.46	78.36	108.81	10.06	209.24	2	5.28	75230	31	1	1
0	0	0	0	0	0	1	0	57	0.675	0.675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33333	38.58	2.4	1.5	0	7	64.68	5	76.48	2	1	1342252	14.75	1	1
0	0	0	0	0	0	0	0	19	0.818	0.818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333	0.88	0	2.36	0	2.84	6.96	2.64	2.8	0	0	6703168	22.5	0.011	1
0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66667	23.9	4.6	24.04	52.16	9.36	9.11	2.6	6.6	20.6	1.84	1078541	0.125	0	1
0	0	1	0	0	0	0	0	6	0.268	0.268	0	0	0	0	0	0	0	0	0	0	0	1.2826	3.88E-05	-1	15.6667	2.88	7.64	1.24	8.72	8.62	3.31	0.74	6	7.84	4	2583136	8.6	1	1
0	0	0	0	0	0	0	0	1	0.471	0.471	0	0	0	0	0	0	0	0	0	0	0	0	7.26e-05	0	296	264.04	4.82	8.92	3.36	68.74	238.98	14.7	375	2.24	5.72	378617	26	0	1
0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	14	200	8	260	4107.52	0.907	0.91257	2.34E-05	1	65	43.58	1.5	2.5	1	12.3	95.16	5.84	56.64	3.48	3	3197594	29	0	1
0	0	1	0	0	3	48	1	95	0.86	0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.33333	53.08	6.42	3	5	63.82	172.81	2.96	132.2	8	1	1720677	30	1	1
0	1	0	1	1	58	233	6	137	0.331	0.331	1	0	1	0	0	22	212	10	133	4114.88	0.565	2.7985	8.31E-04	-1	2	37.92	5.52	6.46	2.66	73.96	148.48	9.38	101.84	3.92	15.6	1778959	36.5	0.004	1
0	0	0	0	0	0	0	0	11	0.877	0.877	0	0	0	0	0	0	0	0	23	3947.56	0.454	1.32955	2.47E-06	-1	42	43.64	2.56	1.36	19.34	26.68	6.59	1.06	27.96	0.44	2.32	3907605	0.392857	0	1
0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	13	183	5	117	4117.55	0.556	0	8.16e-06	0	31	2.5	4.72	4.5	21.56	10.44	7.79	0.56	8	6.28	4.76	2006556	4.22222	0	1
0	0	0	1	0	0	0	2	25	0.808	0.808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.84	2.9	9.88	3.56	30.58	43.6	27.62	39.36	1.2	3.24	276619	39	0.59	1
0	0	0	0	0	0	0	2	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	77.2	2.78	3.74	1.86	11.98	122.11	9.02	187.16	1	1	1773673	32.5	0.043	1
1	1	1	0	0	1	1	14	238	4095.16	0.874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.6667	51.6	1.2	1.78	1.34	7.5	47.51	2.5	55.76	1	0	1184108	21	0.001	1
0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21255	1.24E-05	1	11	125.26	1	4.82	44.32	48.1	17.73	1.5	68.68	6	2	693316	31.3333	0	1
0	0	0	0	0	0	0	0	3	0.276	0.276	0	0	0	0	0	0	0	0	0	0	0	0	0.000144	0	6.33333	0.7	9.08	7.04	14.6	10.44	2.2	1.1	4	11	2	1231761	5.83333	0.567	1
0	0	0	0	0	0	0	1	21	0.925	0.925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.8	0	2.62	22.54	33.92	16.41	10	26.76	6	0	1480148	10.625	0.283	1
0	1	0	0	0	0	0	2	168	0.841	0.841	0	0	0	0	0	0	0	2	66	4112.75	0.601	0	8.1e-05	0	14.3333	15.74	0.5	2	7.16	35.18	29.38	1.78	30.84	2	2.32	971188	90	1	1
0	0	0	0	0	0	0	1	123	0.706	0.706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	21.7	1	1.92	4.82	34.06	50.48	37.26	54.6	1	9.6	432931	20.5	0.033	1
1	0	1	0	1	1	1	6	237	0.78	0.78	0	0	0	0	0	0	0	0	22	4116.69	0.744	0.21858	7.79E-07	1	686.667	48.2	0.58	0.62	1	15.72	42.87	2.02	41.76	1	2.88	600362	0.516129	0.184	1
0	0	0	0	0	1	14	0	7	0.812	0.812	0	1	1	1	0	5	101	13	246	4117.55	0.869	0	1.58e-06	0	20	1.5	1.36	28.12	10.06	7.26	2.37	8.8	6.32	3.08	13.76	78943	29	0	1
0	0	0	0	0	0	0	0	3	0.896	0.896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.66667	112.74	3.5	9.68	5.9	95.9	187.49	47.34	214.88	2	13.92	1610468	29	0.013	1
0	0	0	0	0	4	75	4	108	0.719	0.719	0	0	0	0	0	15	197	0	49	4115.32	0.881	1.57835	7.13E-05	-1	31	23.52	0.5	0	0	1	3.34	1.5	14.96	0	1	449161	46.5	0.005	1
0	0	0	0	0	0	0	1	51	0.096	0.096	0	0	0	0	0	0	0	0	0	0	0	0.20427	4.85E-06	-1	22.3333	28	1	3.92	1	31.82	84.73	2.5	54.24	4	0	2543442	0.0222222	0.998	1
1	0	0	0	0	2	99	2	64	0.361	0.361	0	0	0	0	0	11	166	0	0	4116.25	0.933	0	1.22e-05	0	2	2.2	1.02	0.08	0.5	5.42	4.62	0	2	1	2.04	2467048	11	0	1
0	1	1	0	0	0	0	9	133	0.879	0.879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66667	84.5	3.5	6.26	1	45.34	131.05	41.46	177.84	3	18.32	4784302	7.85714	0	1
0	1	0	0	0	3	86	0	17	0.389	0.389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6667	209.6	3.58	5.28	0.66	24.18	130.95	4.5	358.44	4.36	2.4	2778471	45.5	0	1
1	0	1	0	0	1	1	6	63	0.847	0.847	0	1	1	1	0	5	101	13	246	4117.55	0.869	0	1.26e-05	0	44.3333	6.22	2.36	1.28	2.14	20.64	18.13	0.44	11.8	0.12	0	218315	0.571429	0	1
0	0	1	1	1	5	138	6	118	0	0	0	1	1	1	1	42	234	10	279	4118.47	0	1.57172	1.56E-04	-1	136	83.62	1.22	1.66	0.98	28.68	94.15	3.18	105.68	4	3.88	1230834	0.170213	0.007	1
0	0	0	0	0	0	0	1	13	0.818	0.818	0	0	0	0	0	13	175	0	42	4008.58	0.442	0	6.14e-06	0	4.33333	2.5	6.74	1.1	15.58	7.7	0.75	0.22	8	5	2.64	1794280	32.5	0.001	1
0	0	1	0	0	0	0	1	40	4099.53	0.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	145.8	1.48	2.5	0.96	43.46	70.85	6.42	160.6	2	5	635910	31	0.002	1
0	0	1	0	0	0	0	0	0	0.905	0.905	0	0	0	0	0	0	0	0	0	0	0	2.14585	1.57E-04	-1	32.6667	10.26	2.48	0.76	6.62	23.14	16.45	1.5	9.36	1	0.88	5358486	11.25	0	1
0	0	1	0	0	0	0	1	30	3879.37	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333	88.72	1.92	24.32	7.06	61.42	79.26	49.58	145.76	1	8.16	1494839	0.0340909	0.14	1
0	0	1	1	1	0	0	0	5	0.388	0.388	0	1	1	1	0	5	101	13	246	4117.55	0.869	0	5.34e-08	0	6.66667	10.14	1.5	2.3	7.84	42.24	19.99	1.84	18.4	3.44	5	4748936	0.0980392	0	1
0	0	0	0	0	0	0	1	56	0.812	0.812	0	0	0	0	0	0	0	0	0	0	0	0	0.000208	0	8.66667	4.44	0	1.36	9.7	4.82	1.54	1.88	7.24	0	0	2084686	31.3333	0.1	1
1	0	1	0	0	14	200	1	57	11.681	0.819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	29.42	27.32	4.94	11.7	88.66	128.27	0.92	65.56	6.44	3	1307263	16	0	1
0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	32.72	0.58	0.3	2.78	20.6	22.36	2	28.68	1	0	5192774	14.25	0	1
0	1	0	0	0	23	174	25	327	4112.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	167.04	2.5	15.36	1.42	36.62	186	66.28	294.6	3	9.36	1100511	79	0.469	1
0	0	0	1	0	36	229	2	60	0.626	0.626	0	0	0	0	0	0	0	0	11	3999.28	0.749	0	5.15e-05	0	13.6667	89.98	1.5	5.26	1.94	23.42	171.28	12.88	155.72	5.76	1	5517472	3.75	0	1
0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97944	1.67E-04	1	5.66667	192.46	3.52	11.28	1	22.76	183.68	32.24	358.28	11.32	2.4	536690	0.275862	0.999	1
0	0	0	0	1	0	0	1	45	0.926	0.926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	34.12	3	5.48	22.16	88.96	83.11	2.32	45.96	2.8	7	267259	81	0.001	1
0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	10	235	4116.12	0.9	0	8.27e-10	0	85	6.38	0	1	0	1	2.65	0	3	0	0	242673	30.3333	0.001	1
0	0	0	0	0	0	0	0	150	0.787	0.787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.66667	32.96	1.5	1	1.5	20.78	60.12	0.9	54.72	0.48	0	1441783	0.15	0	1
0	1	0	0	0	8	195	3	178	0.87	0.87	0	0	0	0	0	0	0	1	29	4117.65	0.106	0.02921	9.97E-07	-1	13	4.84	0.5	5.06	16.4	12.58	3.64	0	9.36	5	0	238604	19.5	0	1
0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	13	183	5	117	4117.55	0.556	0	5.15e-05	0	36.6667	9.02	4.36	0.18	13.5	33.56	6.1	0.44	15.2	2	0	1332917	23	0.064	1
0	1	0	1	0	0	0	1	41	0.903	0.903	0	1	0	0	0	23	174	25	327	4112.96	0	1.74734	1.88E-04	-1	16.3333	20.88	1.7	3.5	34.18	5.3	4.21	0.5	9.52	4.44	0	37346	29.3333	0.3	1
0	0	0	0	1	0	0	0	2	0.907	0.907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66667	14.08	34.58	3.5	20.88	88.76	61.58	3.5	32.12	5.28	8.28	973631	2.5	0	1
0	0	0	0	0	9	182	1	50	0.862	0.862	0	0	0	0	0	0	0	0	0	0	0	0	0.000105	0	14.6667	32.4	3	2.5	14.24	68.18	41.96	5.5	66.2	2	0	777908	31.6667	0.047	1
0	1	0	0	0	2	21	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666667	4.92	4.8	19.38	15.28	8.98	6.86	68.16	2.64	8.6	14.04	1464349	34	0.001	1
0	0	0	0	0	0	100	0	11	0.11	0.11	1	0	1	1	1	1	1	16	203	4091.66	0.925	4.12582	4.10E-03	1	14	10.9	0.5	1	12.04	26.78	15.48	3.34	15.24	2.36	0.56	2449213	45.5	0	1
0	0	1	0	0	24	198	2	99	3359.49	0.308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66667	76.56	5.64	19.76	28.38	144.6	168.67	60.24	157.68	5.36	20.44	735295	21.75	1	1
0	0	0	0	0	0	2	1	50	0.919	0.919	0	0	0	0	0	0	0	0	0	0	0	0	6.15e-05	0	35	100.1	3.22	24.88	48.26	62.44	31.23	39.94	97.32	1.52	4.72	6162784	22.75	0	1
1	0	0	0	0	1	1	3	55	0.04	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6667	180.22	2.86	8.54	1	17.98	124.53	15.42	260.52	4	2.56	2414033	18	0.222	1
0	0	0	0	0	1	57	3	90	0.448	0.448	0	1	1	1	0	5	101	13	246	4117.55	0.869	0	7.57e-06	0	4	41.52	0.5	4	1	33.24	83.98	13.94	116.16	0	5.48	1127840	30.6667	1	1
0	0	1	1	0	0	0	1	15	0.237	0.237	0	0	0	0	0	0	0	0	0	0	0	0	3.96e-06	0	21.6667	25.48	0.58	2.46	0	11.06	42.06	0.64	33.8	1.4	1.16	1116750	0.772727	0	1
0	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82324	3.73E-05	-1	1.33333	4.38	17.58	5.16	5.22	2	0	2	1	6.88	5.2	1290053	30	0.001	1
0	0	0	0	0	0	0	0	29	0.639	0.639	0	0	0	0	0	15	197	0	49	4115.32	0.881	0	4.68e-05	0	26	35.72	0	1	1	6.28	44.49	0.1	46.84	0	0	4677350	19.3333	1	1
0	0	0	0	0	3	138	0	12	0.894	0.894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97.3333	140.48	2.38	2.04	1	18.4	127.48	13.94	164.8	2.24	1	1705417	18	0.997	1
0	0	1	0	0	0	0	2	55	0.768	0.768	0	0	1	0	0	2	105	39	339	4117.55	0.886	0	1.01e-05	0	2	24.34	3.42	1.22	2.46	54.42	59.28	2.5	49.6	2	0	635382	29.6667	0.818	1
0	0	1	1	0	6	182	2	167	0.862	0.862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.33333	93.1	2.66	1.7	0	9	40.87	8	96	1	0	1962741	17.6	0.214	1
0	1	0	0	0	0	0	0	36	0.409	0.409	0	0	0	0	0	0	0	0	146	3814.37	0.928	0	5.69e-05	0	3.66667	0.56	0	5.76	1	0	0.25	1.5	0	1	0	391559	32	0	1
0	0	0	0	0	0	0	2	114	0.892	0.892	0	0	0	0	0	18	203	0	2	4056.17	0.889	0	3.77e-05	0	109	116.8	2.5	1	1.98	10.84	104.26	16.64	169.2	1.04	0.52	2094031	47	1	1
0	0	0	0	0	1	57	3	90	0.448	0.448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333	49.36	3.82	4.16	0	23.28	69.44	9.14	145.8	1	2	1127196	30.6667	1	1
0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0	0	10	4076.8	0.526	0.1457	6.98E-06	1	31.3333	2.9	6.6	4.42	8.04	8.48	2.62	1.2	3.96	12.2	5.52	831973	0.325	0.023	1
0	0	0	0	0	0	0	1	14	0.876	0.876	0	0	0	0	0	0	0	0	0	0	0	0.80694	1.06E-05	1	6.66667	100	2.66	8.02	5	68.54	152.32	24.98	194.52	5.04	3.4	909388	0.71875	0.001	1
0	0	0	0	0	13	197	0	11	0	0	1	1	0	0	1	2	77	2	63	4117.55	0.925	0	4.12e-08	0	98	5.84	2.64	4.06	3.8	5.64	1	1.76	7	2	4	158774	46	0.001	1
0	0	1	0	0	3	128	0	20	0	0	0	0	0	0	0	0	0	3	137	3195.86	0.911	0	0.000902	0	34	78.72	0	11.36	50.32	47.76	16.12	2.76	40.2	4.04	2	323075	6.5	0.018	1
0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66667	229.34	5.7	30.06	1.4	26.26	242.16	66.26	511.72	6.88	13.84	928176	23.25	0	1
0	1	1	0	0	0	14	0	0	0	0	0	1	0	0	0	23	174	25	327	4112.96	0	1.74734	1.88E-04	-1	251	120.4	1.46	4.4	9.2	56.26	27.23	4.96	88.28	2	0	1486567	23.75	0.971	1
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97568	3.16E-04	-1	23	66.72	3.22	5.52	32.62	34.76	10.57	3.76	76.6	1.24	0	2475405	30	0.088	1
0	0	0	0	0	0	0	0	10	0.828	0.828	0	1	1	1	0	5	101	13	246	4117.55	0.869	0	4.81e-08	0	42.3333	34.16	0.5	1	0.5	8.34	39.81	1.62	37.96	0.28	2	3245259	35.5	0.001	1
0	0	0	0	0	1	44	0	0	0.833	0.833	0	0	0	0	0	0	0	0	0	0	0	0	0.000758	0	3	2.4	10.04	6.12	2.98	2	0.37	1.82	1	9.92	2	1670728	0.243243	0	1
